session_id,timestamp,valid_data,activation,scl_avg
06562930-adc3-11eb-8080-808080808080,1620233870,false,false,0.0
06562930-adc3-11eb-8080-808080808080,1620233870,false,false,0.0
06562930-adc3-11eb-8080-808080808080,1620233870,false,false,0.0
06562930-adc3-11eb-8080-808080808080,1620233870,false,false,0.0
06562930-adc3-11eb-8080-808080808080,1620233870,false,false,0.0
06562930-adc3-11eb-8080-808080808080,1620233875,false,false,0.0
06562930-adc3-11eb-8080-808080808080,1620233875,false,false,0.0
06562930-adc3-11eb-8080-808080808080,1620233875,false,false,0.0
06562930-adc3-11eb-8080-808080808080,1620233875,false,false,0.0
06562930-adc3-11eb-8080-808080808080,1620233875,false,false,0.0
06562930-adc3-11eb-8080-808080808080,1620233880,false,false,2.423454999923706
06562930-adc3-11eb-8080-808080808080,1620233880,false,false,0.0
06562930-adc3-11eb-8080-808080808080,1620233880,false,false,0.0
06562930-adc3-11eb-8080-808080808080,1620233880,false,false,0.0
06562930-adc3-11eb-8080-808080808080,1620233880,false,false,0.0
06562930-adc3-11eb-8080-808080808080,1620233885,false,false,0.0
06562930-adc3-11eb-8080-808080808080,1620233885,false,false,0.0
06562930-adc3-11eb-8080-808080808080,1620233885,false,false,0.0
06562930-adc3-11eb-8080-808080808080,1620233885,false,false,0.0
06562930-adc3-11eb-8080-808080808080,1620233885,false,false,0.0
06562930-adc3-11eb-8080-808080808080,1620233890,false,false,0.0
06562930-adc3-11eb-8080-808080808080,1620233890,false,false,0.0
06562930-adc3-11eb-8080-808080808080,1620233890,false,false,2.201378345489502
06562930-adc3-11eb-8080-808080808080,1620233890,false,false,2.852362871170044
06562930-adc3-11eb-8080-808080808080,1620233890,false,false,2.968446969985962
06562930-adc3-11eb-8080-808080808080,1620233895,false,true,3.094916582107544
06562930-adc3-11eb-8080-808080808080,1620233895,true,false,3.2997448444366455
06562930-adc3-11eb-8080-808080808080,1620233895,true,false,3.059256076812744
06562930-adc3-11eb-8080-808080808080,1620233895,false,true,2.966930866241455
06562930-adc3-11eb-8080-808080808080,1620233895,false,true,2.9952492713928223
