DATE,UPDATED_AT,STRESS_SCORE,SLEEP_POINTS,MAX_SLEEP_POINTS,RESPONSIVENESS_POINTS,MAX_RESPONSIVENESS_POINTS,EXERTION_POINTS,MAX_EXERTION_POINTS,STATUS,CALCULATION_FAILED
2021-07-10T00:00:00,2021-07-10T06:53:44.882,74,21,30,20,30,33,40,READY,false
2021-07-11T00:00:00,2021-07-11T00:36:17.357,75,19,30,20,30,36,40,READY,false
2021-07-12T00:00:00,2021-07-12T03:16:20.95,82,25,30,19,30,38,40,READY,false
2021-07-15T00:00:00,2021-07-20T10:59:38.285,0,0,0,0,0,0,0,NO_DATA,true
2021-07-16T00:00:00,2021-07-20T10:59:38.52,80,19,30,21,30,40,40,READY,false
2021-07-17T00:00:00,2021-07-20T10:59:39.252,84,24,30,20,30,40,40,READY,false
2021-07-18T00:00:00,2021-07-20T10:59:38.06,82,22,30,20,30,40,40,READY,false
2021-07-19T00:00:00,2021-07-20T10:59:39.929,84,27,30,21,30,36,40,READY,false
2021-07-20T00:00:00,2021-07-20T10:59:39.166,78,24,30,18,30,36,40,READY,false
2021-07-21T00:00:00,2021-07-21T06:52:33.944,74,16,30,22,30,36,40,READY,false
2021-07-22T00:00:00,2021-07-26T17:12:58.265,75,16,30,23,30,36,40,READY,false
2021-07-23T00:00:00,2021-07-26T17:12:59.477,82,26,30,20,30,36,40,READY,false
2021-07-24T00:00:00,2021-07-26T17:12:58.142,76,19,30,24,30,33,40,READY,false
2021-07-25T00:00:00,2021-07-26T17:12:57.702,76,16,30,25,30,35,40,READY,false
2021-07-26T00:00:00,2021-07-26T17:12:58.335,74,20,30,20,30,34,40,READY,false
2021-07-27T00:00:00,2021-07-27T14:29:15.468,74,25,30,16,30,33,40,READY,false
2021-07-28T00:00:00,2021-07-28T06:13:54.019,82,25,30,25,30,32,40,READY,false
2021-07-29T00:00:00,2021-07-29T06:05:03.071,83,28,30,19,30,36,40,READY,false
2021-07-30T00:00:00,2021-07-30T15:46:17.301,81,22,30,23,30,36,40,READY,false
2021-07-31T00:00:00,2021-07-31T06:50:32.52,73,21,30,20,30,32,40,READY,false
2021-08-01T00:00:00,2021-08-01T13:16:00.81,76,21,30,19,30,36,40,READY,false
2021-08-02T00:00:00,2021-08-02T06:53:05.416,83,28,30,20,30,35,40,READY,false
2021-08-03T00:00:00,2021-08-05T18:04:58.218,74,21,30,19,30,34,40,READY,false
2021-08-04T00:00:00,2021-08-05T18:04:58.479,80,23,30,21,30,36,40,READY,false
2021-08-05T00:00:00,2021-08-05T18:04:57.503,75,25,30,20,30,30,40,READY,false
2021-08-06T00:00:00,2021-08-06T06:21:02.334,76,21,30,20,30,35,40,READY,false
2021-08-07T00:00:00,2021-08-07T05:37:12.432,81,27,30,20,30,34,40,READY,false
2021-08-08T00:00:00,2021-08-08T04:24:01.272,84,27,30,20,30,37,40,READY,false
2021-08-10T00:00:00,2021-08-15T19:33:57.427,0,0,0,0,0,0,0,NO_DATA,true
2021-08-11T00:00:00,2021-08-15T19:33:57.158,80,23,30,23,30,34,40,READY,false
2021-08-12T00:00:00,2021-08-15T19:33:56.166,81,25,30,23,30,33,40,READY,false
2021-08-13T00:00:00,2021-08-15T19:33:55.751,85,25,30,25,30,35,40,READY,false
2021-08-14T00:00:00,2021-08-15T19:33:56.419,81,22,30,23,30,36,40,READY,false
2021-08-15T00:00:00,2021-08-15T19:33:56.076,83,25,30,23,30,35,40,READY,false
2021-09-09T00:00:00,2021-09-15T11:32:46.418,0,0,0,0,0,0,0,NO_DATA,true
2021-09-10T00:00:00,2021-09-15T11:32:48.65,83,25,30,23,30,35,40,READY,false
2021-09-11T00:00:00,2021-09-15T11:32:45.59,78,19,30,23,30,36,40,READY,false
2021-09-12T00:00:00,2021-09-15T11:32:46.471,77,18,30,22,30,37,40,READY,false
2021-09-13T00:00:00,2021-09-15T11:32:47.014,76,22,30,21,30,33,40,READY,false
2021-09-14T00:00:00,2021-09-15T11:32:47.348,80,22,30,23,30,35,40,READY,false
2021-09-15T00:00:00,2021-09-15T11:32:50.529,85,25,30,27,30,33,40,READY,false
2021-09-16T00:00:00,2021-09-16T03:55:13.32,80,22,30,24,30,34,40,READY,false
2021-09-17T00:00:00,2021-09-17T15:24:56.972,67,15,30,16,30,36,40,READY,false
2021-09-18T00:00:00,2021-09-22T09:28:29.701,74,18,30,23,30,33,40,READY,false
2021-09-19T00:00:00,2021-09-22T09:28:31.721,78,22,30,23,30,33,40,READY,false
2021-09-20T00:00:00,2021-09-22T09:28:30.105,77,23,30,21,30,33,40,READY,false
2021-09-21T00:00:00,2021-09-22T09:28:30.389,72,19,30,17,30,36,40,READY,false
2021-09-22T00:00:00,2021-09-22T09:28:29.504,83,25,30,22,30,36,40,READY,false
2021-09-23T00:00:00,2021-09-23T09:45:43.394,86,30,30,19,30,37,40,READY,false
2021-09-24T00:00:00,2021-09-29T11:47:00.79,76,22,30,17,30,37,40,READY,false
2021-09-25T00:00:00,2021-09-29T11:46:57.108,81,24,30,20,30,37,40,READY,false
2021-09-26T00:00:00,2021-09-29T11:46:54.662,72,16,30,19,30,37,40,READY,false
2021-09-27T00:00:00,2021-09-29T11:46:55.893,78,23,30,23,30,32,40,READY,false
2021-09-28T00:00:00,2021-09-29T11:46:55.198,76,21,30,19,30,36,40,READY,false
2021-09-29T00:00:00,2021-09-29T11:46:56.181,80,24,30,20,30,36,40,READY,false
2021-09-30T00:00:00,2021-09-30T20:10:05.138,79,22,30,18,30,39,40,READY,false
2021-10-01T00:00:00,2021-10-01T08:43:26.987,81,21,30,23,30,37,40,READY,false
