timestamp,Infrared to Red Signal Ratio
05/11/21 00:00:00,-27
05/11/21 00:01:00,-48
05/11/21 00:02:00,-22
05/11/21 00:03:00,-35
05/11/21 00:04:00,-14
05/11/21 00:05:00,-8
05/11/21 00:06:00,0
05/11/21 00:07:00,0
05/11/21 00:08:01,0
05/11/21 00:09:01,2
05/11/21 00:10:01,-24
05/11/21 00:11:01,-29
05/11/21 00:12:01,-2
05/11/21 00:13:01,-1
05/11/21 00:14:01,-14
05/11/21 00:15:01,-34
05/11/21 00:16:01,7
05/11/21 00:17:01,-1
05/11/21 00:18:01,-52
05/11/21 00:19:01,14
05/11/21 00:20:01,0
05/11/21 00:21:01,0
05/11/21 00:22:01,26
05/11/21 00:23:01,4
05/11/21 00:24:02,0
05/11/21 00:25:02,4
05/11/21 00:26:02,38
05/11/21 00:27:02,4
05/11/21 00:28:02,5
05/11/21 00:29:02,-55
05/11/21 00:30:02,7
05/11/21 00:31:02,-7
05/11/21 00:32:02,14
05/11/21 00:33:02,-20
05/11/21 00:34:02,2
05/11/21 00:35:02,1
05/11/21 00:36:02,4
05/11/21 00:37:02,-34
05/11/21 00:38:02,-8
05/11/21 00:39:02,-12
05/11/21 00:40:02,-31
05/11/21 00:41:02,0
05/11/21 00:42:02,19
05/11/21 00:43:02,0
05/11/21 00:44:02,17
05/11/21 00:45:02,3
05/11/21 00:46:02,-25
05/11/21 00:47:02,4
05/11/21 00:48:02,-40
05/11/21 00:49:03,-36
05/11/21 00:50:04,4
05/11/21 00:51:04,-21
05/11/21 00:52:04,42
05/11/21 00:53:04,-13
05/11/21 00:54:04,-2
05/11/21 00:55:04,-69
05/11/21 00:56:04,4
05/11/21 00:57:04,4
05/11/21 00:58:04,-23
05/11/21 00:59:04,-15
05/11/21 01:00:04,-12
05/11/21 01:01:04,13
05/11/21 01:02:04,-9
05/11/21 01:03:04,0
05/11/21 01:04:04,-18
05/11/21 01:05:04,1
05/11/21 01:06:04,-18
05/11/21 01:07:04,0
05/11/21 01:08:04,0
05/11/21 01:09:04,0
05/11/21 01:10:04,10
05/11/21 01:11:04,39
05/11/21 01:12:04,0
05/11/21 01:13:04,13
05/11/21 01:14:04,-6
05/11/21 01:15:04,-13
05/11/21 01:16:04,25
05/11/21 01:17:04,15
05/11/21 01:18:04,29
05/11/21 01:19:04,-26
05/11/21 01:20:04,73
05/11/21 01:21:04,0
05/11/21 01:22:04,0
05/11/21 01:23:04,-1
05/11/21 01:24:04,0
05/11/21 01:25:04,-4
05/11/21 01:26:04,-6
05/11/21 01:27:04,-1
05/11/21 01:28:04,0
05/11/21 01:29:04,0
05/11/21 01:30:04,-59
05/11/21 01:31:04,21
05/11/21 01:32:04,0
05/11/21 01:33:04,-24
05/11/21 01:34:04,-12
05/11/21 01:35:04,0
05/11/21 01:36:04,0
05/11/21 01:37:05,5
05/11/21 01:38:05,0
05/11/21 01:39:05,6
05/11/21 01:40:05,0
05/11/21 01:41:05,0
05/11/21 01:42:05,0
05/11/21 01:43:05,0
05/11/21 01:44:05,0
05/11/21 01:45:05,0
05/11/21 01:46:05,0
05/11/21 01:47:05,0
05/11/21 01:48:05,0
05/11/21 01:49:05,0
05/11/21 01:50:05,0
05/11/21 01:51:05,-4
05/11/21 01:52:05,-21
05/11/21 01:53:05,-24
05/11/21 01:54:05,-26
05/11/21 01:55:05,0
05/11/21 01:56:06,-20
05/11/21 01:57:06,1
05/11/21 01:58:06,0
05/11/21 01:59:06,4
05/11/21 02:00:06,-26
05/11/21 02:01:06,21
05/11/21 02:02:06,0
05/11/21 02:03:06,0
05/11/21 02:04:06,-4
05/11/21 02:05:06,4
05/11/21 02:06:06,13
05/11/21 02:07:06,-3
05/11/21 02:08:06,-3
05/11/21 02:09:06,-9
05/11/21 02:10:06,0
05/11/21 02:11:06,-1
05/11/21 02:12:06,0
05/11/21 02:13:06,13
05/11/21 02:14:06,-23
05/11/21 02:15:06,-68
05/11/21 02:16:06,-54
05/11/21 02:17:06,56
05/11/21 02:18:06,-3
05/11/21 02:19:06,-24
05/11/21 02:20:06,-26
05/11/21 02:21:06,0
05/11/21 02:22:06,0
05/11/21 02:23:06,-47
05/11/21 02:24:06,-13
05/11/21 02:25:06,-4
05/11/21 02:26:06,0
05/11/21 02:27:06,-16
05/11/21 02:28:06,-26
05/11/21 02:29:06,-39
05/11/21 02:30:06,-6
05/11/21 02:31:06,-17
05/11/21 02:32:06,-40
05/11/21 02:33:06,-17
05/11/21 02:34:06,-23
05/11/21 02:35:06,-1
05/11/21 02:36:06,-3
05/11/21 02:37:06,-50
05/11/21 02:38:06,0
05/11/21 02:39:06,-2
05/11/21 02:40:06,13
05/11/21 02:41:06,-5
05/11/21 02:42:06,-25
05/11/21 02:43:06,-16
05/11/21 02:44:06,18
05/11/21 02:45:06,44
05/11/21 02:46:06,4
05/11/21 02:47:06,-45
05/11/21 02:48:06,-18
05/11/21 02:49:06,-2
05/11/21 02:50:06,26
05/11/21 02:51:06,23
05/11/21 02:52:06,0
05/11/21 02:53:06,0
05/11/21 02:54:06,3
05/11/21 02:55:06,15
05/11/21 02:56:07,-46
05/11/21 02:57:07,-8
05/11/21 02:58:07,-26
05/11/21 02:59:07,0
05/11/21 03:00:07,18
05/11/21 03:01:07,19
05/11/21 03:02:07,21
05/11/21 03:03:07,54
05/11/21 03:04:07,4
05/11/21 03:05:07,17
05/11/21 03:06:07,0
05/11/21 03:07:07,-1
05/11/21 03:08:07,8
05/11/21 03:09:07,-20
05/11/21 03:10:07,2
05/11/21 03:11:07,1
05/11/21 03:12:07,0
05/11/21 03:13:07,-29
05/11/21 03:14:07,-60
05/11/21 03:15:07,-28
05/11/21 03:16:07,-2
05/11/21 03:17:07,4
05/11/21 03:18:07,0
05/11/21 03:19:07,-5
05/11/21 03:20:07,-2
05/11/21 03:21:07,1
05/11/21 03:22:07,43
05/11/21 03:23:07,0
05/11/21 03:24:07,-69
05/11/21 03:25:07,14
05/11/21 03:26:07,9
05/11/21 03:27:07,0
05/11/21 03:28:07,0
05/11/21 03:29:07,5
05/11/21 03:30:07,-1
05/11/21 03:31:07,7
05/11/21 03:32:07,0
05/11/21 03:33:07,41
05/11/21 03:34:07,4
05/11/21 03:35:07,-8
05/11/21 03:36:07,-10
05/11/21 03:37:07,28
05/11/21 03:38:08,7
05/11/21 03:39:08,45
05/11/21 03:40:08,8
05/11/21 03:41:09,-8
05/11/21 03:42:09,0
05/11/21 03:43:09,5
05/11/21 03:44:09,-37
05/11/21 03:45:09,-17
05/11/21 03:46:09,-3
05/11/21 03:47:09,-44
05/11/21 03:48:09,-6
05/11/21 03:49:09,0
05/11/21 03:50:09,0
05/11/21 03:51:09,0
05/11/21 03:52:09,0
05/11/21 03:53:09,0
05/11/21 03:54:09,0
05/11/21 03:55:09,0
05/11/21 03:56:09,25
05/11/21 03:57:09,-2
05/11/21 03:58:09,10
05/11/21 03:59:09,-72
05/11/21 04:00:09,-11
05/11/21 04:01:09,5
05/11/21 04:02:09,0
05/11/21 04:03:09,7
05/11/21 04:04:09,36
05/11/21 04:05:09,21
05/11/21 04:06:09,2
05/11/21 04:07:09,0
05/11/21 04:08:09,0
05/11/21 04:09:09,0
05/11/21 04:10:09,-2
05/11/21 04:11:09,11
05/11/21 04:12:09,-12
05/11/21 04:13:09,25
05/11/21 04:14:09,33
05/11/21 04:15:09,8
05/11/21 04:16:09,41
05/11/21 04:17:09,-21
05/11/21 04:18:09,13
05/11/21 04:19:09,0
05/11/21 04:20:09,-33
05/11/21 04:21:09,34
05/11/21 04:22:09,8
05/11/21 04:23:09,-26
05/11/21 04:24:09,0
05/11/21 04:25:09,-7
05/11/21 04:26:09,39
05/11/21 04:27:09,-1
05/11/21 04:28:09,7
05/11/21 04:29:09,-1
05/11/21 04:30:09,-8
05/11/21 04:31:09,5
05/11/21 04:32:09,0
05/11/21 04:33:09,-13
05/11/21 04:34:09,17
05/11/21 04:35:09,60
05/11/21 04:36:09,-20
05/11/21 04:37:09,26
05/11/21 04:38:09,22
05/11/21 04:39:09,40
05/11/21 04:40:09,-6
05/11/21 04:41:09,15
05/11/21 04:42:09,0
05/11/21 04:43:10,3
05/11/21 04:44:10,1
05/11/21 04:45:10,13
05/11/21 04:46:10,47
05/11/21 04:47:10,50
05/11/21 04:48:10,33
05/11/21 04:49:10,14
05/11/21 04:50:10,4
05/11/21 04:51:10,0
05/11/21 04:52:10,11
05/11/21 04:53:10,0
05/11/21 04:54:10,30
05/11/21 04:55:10,17
05/11/21 04:56:10,13
05/11/21 04:57:10,2
05/11/21 04:58:10,14
05/11/21 04:59:10,2
05/11/21 05:00:10,0
05/11/21 05:01:10,-2
05/11/21 05:02:10,0
05/11/21 05:03:10,-74
05/11/21 05:04:10,-29
05/11/21 05:05:10,0
05/11/21 05:06:10,-34
05/11/21 05:07:10,3
05/11/21 05:08:10,-39
05/11/21 05:09:10,-21
05/11/21 05:10:10,6
05/11/21 05:11:10,-34
05/11/21 05:12:10,-57
05/11/21 05:13:10,-29
05/11/21 05:14:10,-17
05/11/21 05:15:10,0
05/11/21 05:16:10,0
05/11/21 05:17:10,7
05/11/21 05:18:10,24
05/11/21 05:19:10,4
05/11/21 05:20:10,-3
05/11/21 05:21:10,0
05/11/21 05:22:10,3
05/11/21 05:23:10,39
05/11/21 05:24:10,0
05/11/21 05:25:10,0
05/11/21 05:26:10,0
05/11/21 05:27:10,0
05/11/21 05:28:10,0
05/11/21 05:29:10,-79
05/11/21 05:30:11,0
05/11/21 05:31:11,13
05/11/21 05:32:11,8
05/11/21 05:33:11,1
05/11/21 05:34:11,-1
05/11/21 05:35:11,0
05/11/21 05:36:11,2
05/11/21 05:37:11,68
