timestamp,Infrared to Red Signal Ratio
06/24/21 00:00:21,-18
06/24/21 00:01:21,0
06/24/21 00:02:21,0
06/24/21 00:03:21,-29
06/24/21 00:04:21,-52
06/24/21 00:05:21,-32
06/24/21 00:06:21,-5
06/24/21 00:07:21,1
06/24/21 00:08:21,0
06/24/21 00:09:21,11
06/24/21 00:10:21,0
06/24/21 00:11:21,0
06/24/21 00:12:21,65
06/24/21 00:13:21,0
06/24/21 00:14:21,27
06/24/21 00:15:21,0
06/24/21 00:16:21,2
06/24/21 00:17:21,1
06/24/21 00:18:21,-4
06/24/21 00:19:21,0
06/24/21 00:20:21,-3
06/24/21 00:21:21,-13
06/24/21 00:22:21,0
06/24/21 00:23:21,10
06/24/21 00:24:21,-4
06/24/21 00:25:21,30
06/24/21 00:26:21,-4
06/24/21 00:27:21,4
06/24/21 00:28:21,2
06/24/21 00:29:21,21
06/24/21 00:30:21,-30
06/24/21 00:31:21,17
06/24/21 00:32:21,14
06/24/21 00:33:21,29
06/24/21 00:34:21,34
06/24/21 00:35:21,-12
06/24/21 00:36:21,33
06/24/21 00:37:21,-2
06/24/21 00:38:21,-42
06/24/21 00:39:21,0
06/24/21 00:40:21,34
06/24/21 00:41:21,19
06/24/21 00:42:21,-4
06/24/21 00:43:21,-1
06/24/21 00:44:21,-10
06/24/21 00:45:21,-1
06/24/21 00:46:21,0
06/24/21 00:47:21,-70
06/24/21 00:48:21,54
06/24/21 00:49:21,-2
06/24/21 00:50:21,7
06/24/21 00:51:21,0
06/24/21 00:52:21,13
06/24/21 00:53:21,1
06/24/21 00:54:21,-13
06/24/21 00:55:21,15
06/24/21 00:56:21,0
06/24/21 00:57:21,-6
06/24/21 00:58:21,-5
06/24/21 00:59:21,0
06/24/21 01:00:21,-12
06/24/21 01:01:21,2
06/24/21 01:02:21,-1
06/24/21 01:03:21,5
06/24/21 01:04:21,-7
06/24/21 01:05:21,-13
06/24/21 01:06:21,-4
06/24/21 01:07:21,15
06/24/21 01:08:21,-1
06/24/21 01:09:21,-3
06/24/21 01:10:21,5
06/24/21 01:11:21,0
06/24/21 01:12:21,5
06/24/21 01:13:21,0
06/24/21 01:14:21,5
06/24/21 01:15:21,-9
06/24/21 01:16:21,26
06/24/21 01:17:21,15
06/24/21 01:18:21,-20
06/24/21 01:19:21,26
06/24/21 01:20:21,20
06/24/21 01:21:21,-21
06/24/21 01:22:21,4
06/24/21 01:23:21,1
06/24/21 01:24:21,-7
06/24/21 01:25:21,43
06/24/21 01:26:21,25
06/24/21 01:27:21,39
06/24/21 01:28:21,-10
06/24/21 01:29:21,0
06/24/21 01:30:21,2
06/24/21 01:31:21,-1
06/24/21 01:32:21,18
06/24/21 01:33:21,0
06/24/21 01:34:21,-16
06/24/21 01:35:21,56
06/24/21 01:36:21,-1
06/24/21 01:37:21,-8
06/24/21 01:38:21,-14
06/24/21 01:39:21,10
06/24/21 01:40:21,0
06/24/21 01:41:21,-8
06/24/21 01:42:21,-8
06/24/21 01:43:21,8
06/24/21 01:44:21,-4
06/24/21 01:45:21,8
06/24/21 01:46:21,0
06/24/21 01:47:21,-9
06/24/21 01:48:21,-3
06/24/21 01:49:22,14
