timestamp,Infrared to Red Signal Ratio
07/09/21 00:00:34,-26
07/09/21 00:01:34,0
07/09/21 00:02:34,3
07/09/21 00:03:34,-1
07/09/21 00:04:34,14
07/09/21 00:05:34,3
07/09/21 00:06:34,8
07/09/21 00:07:34,28
07/09/21 00:08:34,-4
07/09/21 00:09:34,9
07/09/21 00:10:34,-13
07/09/21 00:11:34,0
07/09/21 00:12:34,-11
07/09/21 00:13:34,0
07/09/21 00:14:34,16
07/09/21 00:15:34,1
07/09/21 00:16:34,0
07/09/21 00:17:34,23
07/09/21 00:18:34,-1
07/09/21 00:19:34,0
07/09/21 00:20:34,-5
07/09/21 00:21:34,0
07/09/21 00:22:34,-27
07/09/21 00:23:34,27
07/09/21 00:24:34,1
07/09/21 00:25:34,-3
07/09/21 00:26:34,0
07/09/21 00:27:34,31
07/09/21 00:28:34,-7
07/09/21 00:29:34,2
07/09/21 00:30:34,39
07/09/21 00:31:34,0
07/09/21 00:32:34,6
07/09/21 00:33:34,0
07/09/21 00:34:34,0
07/09/21 00:35:34,-5
07/09/21 00:36:34,0
07/09/21 00:37:34,0
07/09/21 00:38:34,1
07/09/21 00:39:34,36
07/09/21 00:40:34,0
07/09/21 00:41:34,9
07/09/21 00:42:34,4
07/09/21 00:43:34,0
07/09/21 00:44:34,0
07/09/21 00:45:34,1
07/09/21 00:46:34,8
07/09/21 00:47:34,56
07/09/21 00:48:34,0
07/09/21 00:49:34,8
07/09/21 00:50:34,0
07/09/21 00:51:34,-12
07/09/21 00:52:34,4
07/09/21 00:53:34,-14
07/09/21 00:54:34,3
07/09/21 00:55:34,6
07/09/21 00:56:34,-2
07/09/21 00:57:34,-2
07/09/21 00:58:34,-60
07/09/21 00:59:34,0
07/09/21 01:00:34,8
07/09/21 01:01:34,0
07/09/21 01:02:34,0
07/09/21 01:03:34,-27
07/09/21 01:04:34,-11
07/09/21 01:05:34,5
07/09/21 01:06:34,-4
07/09/21 01:07:34,-4
07/09/21 01:08:35,-21
07/09/21 01:09:35,8
07/09/21 01:10:35,-2
07/09/21 01:11:35,8
07/09/21 01:12:35,25
07/09/21 01:13:35,7
07/09/21 01:14:35,-8
07/09/21 01:15:35,-10
07/09/21 01:16:35,0
07/09/21 01:17:35,0
07/09/21 01:18:35,0
07/09/21 01:19:35,0
07/09/21 01:20:35,-1
07/09/21 01:21:35,-10
07/09/21 01:22:35,-4
07/09/21 01:23:35,-1
07/09/21 01:24:35,26
07/09/21 01:25:35,4
07/09/21 01:26:35,0
07/09/21 01:27:35,-14
07/09/21 01:28:35,-1
07/09/21 01:29:35,0
07/09/21 01:30:35,-30
07/09/21 01:31:35,0
07/09/21 01:32:35,0
07/09/21 01:33:35,-43
07/09/21 01:34:35,0
07/09/21 01:35:35,8
07/09/21 01:36:35,-8
07/09/21 01:37:35,0
07/09/21 01:38:35,26
07/09/21 01:39:35,46
07/09/21 01:40:36,-14
07/09/21 01:41:36,7
07/09/21 01:42:36,-14
07/09/21 01:43:36,1
07/09/21 01:44:36,-17
07/09/21 01:45:36,-38
07/09/21 01:46:36,12
07/09/21 01:47:36,1
07/09/21 01:48:36,6
07/09/21 01:49:36,4
07/09/21 01:50:36,0
07/09/21 01:51:36,-17
07/09/21 01:52:36,7
07/09/21 01:53:36,-20
07/09/21 01:54:36,-13
07/09/21 01:55:36,-1
07/09/21 01:56:36,-7
07/09/21 01:57:36,-21
07/09/21 01:58:36,-6
07/09/21 01:59:36,-52
07/09/21 02:00:36,-9
07/09/21 02:01:36,-22
07/09/21 02:02:36,-25
07/09/21 02:03:36,-13
07/09/21 02:04:36,-42
07/09/21 02:05:36,-3
07/09/21 02:06:37,-10
07/09/21 02:07:37,-9
07/09/21 02:08:37,10
07/09/21 02:09:37,-69
07/09/21 02:10:37,-3
07/09/21 02:11:37,-34
07/09/21 02:12:37,0
07/09/21 02:13:37,-69
07/09/21 02:14:37,-18
07/09/21 02:15:37,-7
07/09/21 02:16:37,-4
07/09/21 02:17:37,-19
07/09/21 02:18:37,4
07/09/21 02:19:37,-1
07/09/21 02:20:37,-3
07/09/21 02:21:37,0
07/09/21 02:22:37,21
07/09/21 02:23:37,-30
07/09/21 02:24:37,-20
07/09/21 02:25:37,0
07/09/21 02:26:37,9
07/09/21 02:27:37,0
07/09/21 02:28:37,25
07/09/21 02:29:37,-25
07/09/21 02:30:37,0
07/09/21 02:31:37,-1
07/09/21 02:32:37,16
07/09/21 02:33:37,4
07/09/21 02:34:37,-11
07/09/21 02:35:37,-3
07/09/21 02:36:37,0
07/09/21 02:37:37,-13
07/09/21 02:38:37,-6
07/09/21 02:39:37,-43
07/09/21 02:40:37,-8
07/09/21 02:41:37,-1
07/09/21 02:42:37,12
07/09/21 02:43:37,-12
07/09/21 02:44:37,-12
07/09/21 02:45:37,-1
07/09/21 02:46:37,14
07/09/21 02:47:37,2
07/09/21 02:48:37,-8
07/09/21 02:49:37,-45
07/09/21 02:50:37,-43
07/09/21 02:51:37,-28
07/09/21 02:52:37,-25
07/09/21 02:53:37,11
07/09/21 02:54:37,17
07/09/21 02:55:37,57
07/09/21 02:56:37,45
07/09/21 02:57:37,-72
07/09/21 02:58:37,-59
07/09/21 02:59:37,-34
07/09/21 03:00:37,-30
07/09/21 03:01:37,-12
07/09/21 03:02:37,0
07/09/21 03:03:37,-48
07/09/21 03:04:37,-70
07/09/21 03:05:37,2
07/09/21 03:06:37,7
07/09/21 03:07:37,-16
07/09/21 03:08:37,8
07/09/21 03:09:37,-9
07/09/21 03:10:37,-23
07/09/21 03:11:37,0
07/09/21 03:12:37,25
07/09/21 03:13:37,-1
07/09/21 03:14:37,-39
07/09/21 03:15:37,-60
07/09/21 03:16:37,-1
07/09/21 03:17:37,-14
07/09/21 03:18:37,-8
07/09/21 03:19:37,-36
07/09/21 03:20:37,10
07/09/21 03:21:37,40
07/09/21 03:22:37,7
07/09/21 03:23:37,-13
07/09/21 03:24:37,11
07/09/21 03:25:37,-1
07/09/21 03:26:37,-1
07/09/21 03:27:37,0
07/09/21 03:28:37,-13
07/09/21 03:29:37,1
07/09/21 03:30:37,0
07/09/21 03:31:37,3
07/09/21 03:32:37,8
07/09/21 03:33:38,34
07/09/21 03:34:38,0
07/09/21 03:35:38,54
07/09/21 03:36:38,0
07/09/21 03:37:38,-3
07/09/21 03:38:38,-21
07/09/21 03:39:38,-7
07/09/21 03:40:38,-16
07/09/21 03:41:38,-4
07/09/21 03:42:38,2
07/09/21 03:43:38,-57
07/09/21 03:44:38,29
07/09/21 03:45:38,5
07/09/21 03:46:38,0
07/09/21 03:47:38,8
07/09/21 03:48:38,33
07/09/21 03:49:38,0
07/09/21 03:50:38,-45
07/09/21 03:51:38,36
07/09/21 03:52:39,-37
07/09/21 03:53:39,-17
07/09/21 03:54:39,-23
07/09/21 03:55:39,-38
07/09/21 03:56:39,-60
07/09/21 03:57:39,21
07/09/21 03:58:39,-81
07/09/21 03:59:39,-21
07/09/21 04:00:39,-66
07/09/21 04:01:39,-17
07/09/21 04:02:39,-13
07/09/21 04:03:39,-24
07/09/21 04:04:39,-5
07/09/21 04:05:39,4
07/09/21 04:06:39,0
07/09/21 04:07:39,9
07/09/21 04:08:39,6
07/09/21 04:09:39,0
07/09/21 04:10:39,0
07/09/21 04:11:39,0
07/09/21 04:12:39,-9
07/09/21 04:13:39,15
07/09/21 04:14:39,-3
07/09/21 04:15:39,0
07/09/21 04:16:39,-16
07/09/21 04:17:39,12
07/09/21 04:18:39,3
07/09/21 04:19:39,50
07/09/21 04:20:39,-29
07/09/21 04:21:39,-51
07/09/21 04:22:39,-9
07/09/21 04:23:39,0
07/09/21 04:24:39,-53
07/09/21 04:25:39,-4
07/09/21 04:26:39,-5
07/09/21 04:27:39,-57
07/09/21 04:28:39,4
07/09/21 04:29:39,-30
07/09/21 04:30:39,0
07/09/21 04:31:39,-5
07/09/21 04:32:39,-4
07/09/21 04:33:39,-17
07/09/21 04:34:39,-13
07/09/21 04:35:39,-25
07/09/21 04:36:39,-7
07/09/21 04:37:39,-4
07/09/21 04:38:39,-11
07/09/21 04:39:39,-17
07/09/21 04:40:39,0
07/09/21 04:41:39,0
07/09/21 04:42:40,-63
07/09/21 04:43:40,-7
07/09/21 04:44:40,18
07/09/21 04:45:40,0
07/09/21 04:46:40,0
07/09/21 04:47:40,1
07/09/21 04:48:40,6
07/09/21 04:49:40,-1
07/09/21 04:50:40,0
07/09/21 04:51:40,0
07/09/21 04:52:40,0
07/09/21 04:53:40,-5
07/09/21 04:54:40,-34
07/09/21 04:55:40,-4
07/09/21 04:56:40,-35
07/09/21 04:57:40,2
07/09/21 04:58:40,0
07/09/21 04:59:40,-2
07/09/21 05:00:40,20
07/09/21 05:01:40,-17
07/09/21 05:02:40,-30
07/09/21 05:03:40,0
07/09/21 05:04:40,-4
07/09/21 05:05:40,0
07/09/21 05:06:41,-33
07/09/21 05:07:41,10
07/09/21 05:08:41,19
07/09/21 05:09:41,4
07/09/21 05:10:41,-16
07/09/21 05:11:41,8
07/09/21 05:12:41,6
07/09/21 05:13:41,-2
07/09/21 05:14:41,24
07/09/21 05:15:41,0
07/09/21 05:16:41,-6
07/09/21 05:17:41,17
07/09/21 05:18:41,-4
07/09/21 05:19:41,12
07/09/21 05:20:41,-7
07/09/21 05:21:41,0
07/09/21 05:22:41,3
07/09/21 05:23:41,-6
07/09/21 05:24:41,0
07/09/21 05:25:41,-8
07/09/21 05:26:41,35
07/09/21 05:27:41,47
07/09/21 05:28:41,0
07/09/21 05:29:41,0
07/09/21 05:30:41,-1
07/09/21 05:31:41,0
07/09/21 05:32:41,8
07/09/21 05:33:42,0
07/09/21 05:34:42,1
07/09/21 05:35:42,2
07/09/21 05:36:42,-11
07/09/21 05:37:43,13
07/09/21 05:38:43,24
07/09/21 05:39:43,-34
07/09/21 05:40:43,0
07/09/21 05:41:43,0
07/09/21 05:42:43,8
07/09/21 05:43:43,-10
07/09/21 05:44:43,0
07/09/21 05:45:43,-8
07/09/21 05:46:43,-1
07/09/21 05:47:43,0
07/09/21 05:48:43,0
07/09/21 05:49:43,-11
07/09/21 05:50:43,1
07/09/21 05:51:43,0
07/09/21 05:52:43,-56
07/09/21 05:53:43,-3
07/09/21 05:54:43,-11
07/09/21 05:55:43,-1
07/09/21 05:56:43,-10
07/09/21 05:57:43,9
07/09/21 05:58:43,-9
07/09/21 05:59:43,17
07/09/21 06:00:43,0
07/09/21 06:01:43,0
07/09/21 06:02:43,45
07/09/21 06:03:43,-10
07/09/21 06:04:43,-1
07/09/21 06:05:43,0
07/09/21 06:06:43,0
07/09/21 06:07:43,0
07/09/21 06:08:43,20
07/09/21 06:09:43,-29
07/09/21 06:10:43,1
07/09/21 06:11:43,29
07/09/21 06:12:43,0
07/09/21 06:13:43,0
07/09/21 06:14:43,3
07/09/21 06:15:43,-69
07/09/21 06:16:43,0
07/09/21 06:17:43,0
07/09/21 06:18:43,-2
07/09/21 06:19:43,-4
07/09/21 06:20:43,0
07/09/21 06:21:43,0
07/09/21 06:22:43,0
07/09/21 06:23:43,20
07/09/21 06:24:43,0
07/09/21 06:25:43,-32
07/09/21 06:26:43,6
07/09/21 06:27:43,-6
07/09/21 06:28:43,26
07/09/21 06:29:43,0
07/09/21 06:30:43,11
07/09/21 06:31:43,46
07/09/21 06:32:43,4
07/09/21 06:33:43,7
07/09/21 06:34:43,0
07/09/21 06:35:43,37
07/09/21 06:36:43,0
07/09/21 06:37:43,-6
07/09/21 06:38:43,-1
07/09/21 06:39:43,-10
07/09/21 06:40:43,-44
07/09/21 06:41:43,-8
07/09/21 06:42:43,8
07/09/21 06:43:43,1
07/09/21 06:44:43,-4
07/09/21 06:45:43,0
07/09/21 06:46:43,20
07/09/21 06:47:43,-21
07/09/21 06:48:43,-1
07/09/21 06:49:43,-3
07/09/21 06:50:43,-16
07/09/21 06:51:43,-8
07/09/21 06:52:43,0
07/09/21 06:53:43,19
07/09/21 06:54:43,-1
07/09/21 06:55:43,-4
07/09/21 06:56:44,-1
07/09/21 06:57:44,-1
07/09/21 06:58:44,-78
07/09/21 06:59:44,-2
07/09/21 07:00:44,0
07/09/21 07:01:44,3
07/09/21 07:02:44,3
07/09/21 15:17:30,15
07/09/21 15:18:30,36
07/09/21 15:19:30,0
07/09/21 15:20:30,5
07/09/21 15:21:30,15
07/09/21 15:22:30,23
07/09/21 15:23:30,1
07/09/21 15:24:30,16
07/09/21 15:25:30,38
07/09/21 15:26:30,48
07/09/21 15:27:30,0
07/09/21 15:28:30,2
07/09/21 15:29:30,4
07/09/21 15:30:30,1
07/09/21 15:31:30,-10
07/09/21 15:32:30,-30
07/09/21 15:33:30,0
07/09/21 15:34:30,8
07/09/21 15:35:30,0
07/09/21 15:36:30,9
07/09/21 15:37:30,12
07/09/21 15:38:30,16
07/09/21 15:39:30,7
07/09/21 15:40:30,0
07/09/21 15:41:31,39
07/09/21 15:42:31,0
07/09/21 15:43:31,-4
07/09/21 15:44:31,11
07/09/21 15:45:31,4
07/09/21 15:46:31,17
07/09/21 15:47:31,-4
07/09/21 15:48:31,-36
07/09/21 15:49:31,-33
07/09/21 15:50:31,0
07/09/21 15:51:32,14
07/09/21 15:52:32,0
07/09/21 15:53:32,0
07/09/21 15:54:32,-1
07/09/21 15:55:33,-17
07/09/21 15:56:34,11
07/09/21 15:57:34,0
07/09/21 15:58:34,4
07/09/21 15:59:34,-10
07/09/21 16:00:34,-3
07/09/21 16:01:34,0
07/09/21 16:02:34,44
07/09/21 16:03:34,4
07/09/21 16:04:34,-3
07/09/21 16:05:34,7
07/09/21 16:06:36,0
07/09/21 16:07:36,0
07/09/21 16:08:36,-7
07/09/21 16:09:36,-4
07/09/21 16:10:36,21
07/09/21 16:11:36,8
07/09/21 16:12:36,0
07/09/21 16:13:36,17
07/09/21 16:14:36,0
07/09/21 16:15:36,-11
07/09/21 16:16:36,8
07/09/21 16:17:36,34
07/09/21 16:18:36,16
07/09/21 16:19:36,-79
07/09/21 16:20:36,-34
07/09/21 16:21:36,0
07/09/21 16:22:36,0
07/09/21 16:23:36,-38
07/09/21 16:24:36,-27
07/09/21 16:25:36,-21
07/09/21 16:26:36,-44
07/09/21 16:27:36,-34
07/09/21 16:28:36,-48
07/09/21 16:29:36,-49
07/09/21 16:30:36,0
07/09/21 16:31:36,-1
07/09/21 16:32:36,-17
07/09/21 16:33:36,-3
07/09/21 16:34:36,-9
07/09/21 16:35:36,-58
07/09/21 16:36:36,-24
07/09/21 16:37:36,0
07/09/21 16:38:36,-30
07/09/21 16:39:36,-39
07/09/21 16:40:36,-35
07/09/21 16:41:36,-32
07/09/21 16:42:36,-2
07/09/21 16:43:36,-25
07/09/21 16:44:36,-5
07/09/21 16:45:36,-69
07/09/21 16:46:36,0
07/09/21 16:47:36,-2
07/09/21 16:48:36,-38
07/09/21 16:49:36,-4
07/09/21 16:50:36,-23
07/09/21 16:51:36,-3
07/09/21 16:52:36,3
07/09/21 16:53:36,0
07/09/21 16:54:36,39
07/09/21 16:55:36,0
07/09/21 16:56:36,0
07/09/21 16:57:36,-6
07/09/21 16:58:36,-1
07/09/21 16:59:36,4
07/09/21 17:00:36,-6
07/09/21 17:01:36,1
07/09/21 17:02:36,10
07/09/21 17:03:36,0
07/09/21 17:04:36,2
07/09/21 17:05:36,0
07/09/21 17:06:36,0
07/09/21 17:07:36,0
07/09/21 17:08:36,3
07/09/21 17:09:36,0
07/09/21 17:10:36,0
07/09/21 17:11:36,-8
07/09/21 17:12:36,3
07/09/21 17:13:36,0
07/09/21 17:14:36,1
07/09/21 17:15:36,-3
07/09/21 17:16:36,0
07/09/21 17:17:36,-6
07/09/21 17:18:36,4
07/09/21 17:19:36,-7
