timestamp,Infrared to Red Signal Ratio
08/01/21 00:11:29,0
08/01/21 00:12:29,-37
08/01/21 00:13:29,8
08/01/21 00:14:29,-14
08/01/21 00:15:29,0
08/01/21 00:16:29,34
08/01/21 00:17:29,28
08/01/21 00:18:29,-3
08/01/21 00:19:29,0
08/01/21 00:20:29,56
08/01/21 00:21:29,0
08/01/21 00:22:29,0
08/01/21 00:23:29,9
08/01/21 00:24:29,-21
08/01/21 00:25:29,0
08/01/21 00:26:29,0
08/01/21 00:27:29,29
08/01/21 00:28:29,-6
08/01/21 00:29:29,0
08/01/21 00:30:29,29
08/01/21 00:31:29,33
08/01/21 00:32:29,0
08/01/21 00:33:29,0
08/01/21 00:34:29,-3
08/01/21 00:35:29,-8
08/01/21 00:36:29,0
08/01/21 00:37:29,-10
08/01/21 00:38:29,4
08/01/21 00:39:29,7
08/01/21 00:40:29,-9
08/01/21 00:41:29,0
08/01/21 00:42:29,12
08/01/21 00:43:29,-5
08/01/21 00:44:29,29
08/01/21 00:45:29,-2
08/01/21 00:46:29,0
08/01/21 00:47:29,-4
08/01/21 00:48:29,-2
08/01/21 00:49:29,-40
08/01/21 00:50:30,13
08/01/21 00:51:30,-20
08/01/21 00:52:30,0
08/01/21 00:53:30,1
08/01/21 00:54:30,0
08/01/21 00:55:30,0
08/01/21 00:56:30,0
08/01/21 00:57:30,20
08/01/21 00:58:30,-4
08/01/21 00:59:30,12
08/01/21 01:00:30,0
08/01/21 01:01:30,-12
08/01/21 01:02:30,15
08/01/21 01:03:31,0
08/01/21 01:04:31,18
08/01/21 01:05:31,41
08/01/21 01:06:31,-6
08/01/21 01:07:31,0
08/01/21 01:08:31,-23
08/01/21 01:09:31,0
08/01/21 01:10:31,-10
08/01/21 01:11:31,-1
08/01/21 01:12:31,-19
08/01/21 01:13:31,-21
08/01/21 01:14:31,-8
08/01/21 01:15:31,-4
08/01/21 01:16:31,3
08/01/21 01:17:31,0
08/01/21 01:18:31,26
08/01/21 01:19:31,-13
08/01/21 01:20:31,-7
08/01/21 01:21:31,4
08/01/21 01:22:31,-3
08/01/21 01:23:31,-29
08/01/21 01:24:31,-3
08/01/21 01:25:31,3
08/01/21 01:26:31,-8
08/01/21 01:27:31,1
08/01/21 01:28:31,0
08/01/21 01:29:31,-4
08/01/21 01:30:31,-13
08/01/21 01:31:31,4
08/01/21 01:32:31,13
08/01/21 01:33:31,1
08/01/21 01:34:31,0
08/01/21 01:35:31,-6
08/01/21 01:36:31,0
08/01/21 01:37:31,-9
08/01/21 01:38:31,1
08/01/21 01:39:31,0
08/01/21 01:40:31,0
08/01/21 01:41:31,0
08/01/21 01:42:31,-8
08/01/21 01:43:31,-59
08/01/21 01:44:31,3
08/01/21 01:45:31,0
08/01/21 01:46:31,-14
08/01/21 01:47:31,17
08/01/21 01:48:31,14
08/01/21 01:49:31,7
08/01/21 01:50:31,29
08/01/21 01:51:31,-30
08/01/21 01:52:31,18
