timestamp,Infrared to Red Signal Ratio
09/27/21 04:20:02,-6
09/27/21 04:21:02,1
09/27/21 04:22:02,57
09/27/21 04:23:02,0
09/27/21 04:24:02,-27
09/27/21 04:25:02,0
09/27/21 04:26:02,0
09/27/21 04:27:02,9
09/27/21 04:28:02,57
09/27/21 04:29:02,-30
09/27/21 04:30:02,0
09/27/21 04:31:02,0
09/27/21 04:32:02,-13
09/27/21 04:33:02,2
09/27/21 04:34:02,-7
09/27/21 04:35:02,0
09/27/21 04:36:02,-13
09/27/21 04:37:02,-3
09/27/21 04:38:02,-24
09/27/21 04:39:02,-23
09/27/21 04:40:02,-7
09/27/21 04:41:02,0
09/27/21 04:42:02,-78
09/27/21 04:43:02,-40
09/27/21 04:44:02,0
09/27/21 04:45:02,-30
09/27/21 04:46:02,11
09/27/21 04:47:02,-37
09/27/21 04:48:02,0
09/27/21 04:49:02,-4
09/27/21 04:50:02,-35
09/27/21 04:51:02,-42
09/27/21 04:52:02,0
09/27/21 04:53:02,0
09/27/21 04:54:03,2
09/27/21 04:55:03,-18
09/27/21 04:56:03,-9
09/27/21 04:57:03,0
09/27/21 04:58:03,0
09/27/21 04:59:03,-7
09/27/21 05:00:03,-4
09/27/21 05:01:03,2
09/27/21 05:02:03,21
09/27/21 05:03:03,-7
09/27/21 05:04:03,12
09/27/21 05:05:03,0
09/27/21 05:06:03,-30
09/27/21 05:07:03,-3
09/27/21 05:08:04,1
09/27/21 05:09:04,-4
09/27/21 05:10:04,-18
09/27/21 05:11:04,-1
09/27/21 05:12:04,0
09/27/21 05:13:04,3
09/27/21 05:14:04,0
09/27/21 05:15:04,-31
09/27/21 05:16:04,-58
09/27/21 05:17:04,-9
09/27/21 05:18:04,46
09/27/21 05:19:04,49
09/27/21 05:20:04,4
09/27/21 05:21:04,26
09/27/21 05:22:04,-1
09/27/21 05:23:04,-13
09/27/21 05:24:04,-5
09/27/21 05:25:04,0
09/27/21 05:26:04,-16
09/27/21 05:27:04,42
09/27/21 05:28:04,-5
09/27/21 05:29:04,8
09/27/21 05:30:04,0
09/27/21 05:31:04,0
09/27/21 05:32:04,-2
09/27/21 05:33:04,0
09/27/21 05:34:04,9
09/27/21 05:35:04,2
09/27/21 05:36:04,-5
09/27/21 05:37:04,2
09/27/21 05:38:04,4
09/27/21 05:39:04,-1
09/27/21 05:40:04,-1
09/27/21 05:41:04,-18
09/27/21 05:42:04,-30
09/27/21 05:43:04,43
09/27/21 05:44:04,0
09/27/21 05:45:04,0
09/27/21 05:46:04,-16
09/27/21 05:47:04,0
09/27/21 05:48:04,4
09/27/21 05:49:04,12
09/27/21 05:50:04,0
09/27/21 05:51:05,-4
09/27/21 05:52:05,0
09/27/21 05:53:05,-46
09/27/21 05:54:05,3
09/27/21 05:55:05,0
09/27/21 05:56:05,-10
09/27/21 05:57:05,10
09/27/21 05:58:05,12
09/27/21 05:59:05,0
09/27/21 06:00:05,4
09/27/21 06:01:05,0
