timestamp,Infrared to Red Signal Ratio
06/25/21 00:00:59,11
06/25/21 00:01:59,0
06/25/21 00:02:59,0
06/25/21 00:03:59,-1
06/25/21 00:04:59,4
06/25/21 00:05:59,-4
06/25/21 00:06:59,-25
06/25/21 00:07:59,-13
06/25/21 00:08:59,0
06/25/21 00:09:59,0
06/25/21 00:10:59,42
06/25/21 00:11:59,-4
06/25/21 00:12:59,-6
06/25/21 00:13:59,-10
06/25/21 00:14:59,22
06/25/21 00:15:59,-2
06/25/21 00:16:59,0
06/25/21 00:17:59,0
06/25/21 00:18:59,2
06/25/21 00:19:59,26
06/25/21 00:20:59,-56
06/25/21 00:21:59,-8
06/25/21 00:22:59,-4
06/25/21 00:23:59,-53
06/25/21 00:24:59,0
06/25/21 00:25:59,4
06/25/21 00:26:59,0
06/25/21 00:27:59,-3
06/25/21 00:28:59,-8
06/25/21 00:29:59,0
06/25/21 00:30:59,10
06/25/21 00:31:59,0
06/25/21 00:32:59,-7
06/25/21 00:33:59,11
06/25/21 00:34:59,-1
06/25/21 00:35:59,-42
06/25/21 00:36:59,-22
06/25/21 00:37:59,-24
06/25/21 00:38:59,-43
06/25/21 00:39:59,-4
06/25/21 00:40:59,-24
06/25/21 00:41:59,-17
06/25/21 00:42:59,0
06/25/21 00:43:59,-65
06/25/21 00:44:59,-41
06/25/21 00:45:59,0
06/25/21 00:46:59,0
06/25/21 00:47:59,0
06/25/21 00:48:59,8
06/25/21 00:49:59,0
06/25/21 00:50:59,-3
06/25/21 00:51:59,-5
06/25/21 00:52:59,34
06/25/21 00:53:59,21
06/25/21 00:54:59,16
06/25/21 00:55:59,0
06/25/21 00:56:59,-6
06/25/21 00:57:59,-60
06/25/21 00:58:59,12
06/25/21 00:59:59,5
06/25/21 01:00:59,10
06/25/21 01:01:59,0
06/25/21 01:02:59,-1
06/25/21 01:03:59,9
06/25/21 01:04:59,-16
06/25/21 01:05:59,-2
06/25/21 01:07:00,0
06/25/21 01:08:00,13
06/25/21 01:09:00,0
06/25/21 01:10:00,39
06/25/21 01:11:01,0
06/25/21 01:12:01,0
06/25/21 01:13:01,2
06/25/21 01:14:01,-11
06/25/21 01:15:01,-7
06/25/21 01:16:01,33
06/25/21 01:17:01,1
06/25/21 01:18:01,-17
06/25/21 01:19:01,-29
06/25/21 01:20:01,-8
06/25/21 01:21:01,0
06/25/21 01:22:01,-25
06/25/21 01:23:01,-2
06/25/21 01:24:01,14
06/25/21 01:25:01,-6
06/25/21 01:26:01,-2
06/25/21 01:27:01,-35
06/25/21 01:28:01,0
06/25/21 01:29:01,-5
06/25/21 01:30:01,35
06/25/21 01:31:01,-4
06/25/21 01:32:01,0
06/25/21 01:33:01,-26
06/25/21 01:34:01,-2
06/25/21 01:35:01,-2
06/25/21 01:36:01,0
06/25/21 01:37:01,-14
06/25/21 01:38:01,2
06/25/21 01:39:01,0
06/25/21 01:40:01,1
06/25/21 01:41:01,0
06/25/21 01:42:01,8
06/25/21 01:43:01,0
06/25/21 01:44:01,7
06/25/21 01:45:01,0
06/25/21 01:46:01,27
06/25/21 01:47:01,-2
06/25/21 01:48:01,-5
06/25/21 01:49:01,13
06/25/21 01:50:01,4
06/25/21 01:51:01,4
06/25/21 01:52:01,-41
06/25/21 01:53:01,6
06/25/21 01:54:01,-10
06/25/21 01:55:01,1
06/25/21 01:56:01,-10
06/25/21 01:57:01,-8
06/25/21 01:58:01,-2
06/25/21 01:59:01,0
06/25/21 02:00:01,-1
06/25/21 02:01:01,-1
06/25/21 02:02:01,0
06/25/21 02:03:01,4
06/25/21 02:04:01,4
06/25/21 02:05:01,0
06/25/21 02:06:01,0
06/25/21 02:07:01,8
06/25/21 02:08:01,0
06/25/21 02:09:01,17
06/25/21 02:10:01,4
06/25/21 02:11:01,4
06/25/21 02:12:01,58
06/25/21 02:13:01,47
06/25/21 02:14:01,0
06/25/21 02:15:01,-4
06/25/21 02:16:01,-52
06/25/21 02:17:01,-3
06/25/21 02:18:01,1
06/25/21 02:19:01,-4
06/25/21 02:20:01,-4
06/25/21 02:21:01,-42
06/25/21 02:22:01,0
06/25/21 02:23:01,-34
06/25/21 02:24:01,3
06/25/21 02:25:01,-25
06/25/21 02:26:01,-13
