timestamp,Infrared to Red Signal Ratio
07/25/21 00:00:59,-2
07/25/21 00:01:59,-19
07/25/21 00:02:59,-21
07/25/21 00:03:59,-41
07/25/21 00:04:59,-63
07/25/21 00:05:59,-52
07/25/21 00:06:59,0
07/25/21 00:07:59,4
07/25/21 00:08:59,7
07/25/21 00:09:59,0
07/25/21 00:10:59,-5
07/25/21 00:11:59,-17
07/25/21 00:12:59,-36
07/25/21 00:13:59,-5
07/25/21 00:14:59,16
07/25/21 00:15:59,-6
07/25/21 00:16:59,-29
07/25/21 00:17:59,-1
07/25/21 00:18:59,-17
07/25/21 00:19:59,-18
07/25/21 00:20:59,0
07/25/21 00:21:59,0
07/25/21 00:22:59,0
07/25/21 00:23:59,0
07/25/21 00:24:59,0
07/25/21 00:25:59,1
07/25/21 00:26:59,-30
07/25/21 00:27:59,0
07/25/21 00:28:59,-8
07/25/21 00:29:59,3
07/25/21 00:30:59,-45
07/25/21 00:32:00,-5
07/25/21 00:33:00,17
07/25/21 00:34:00,-26
07/25/21 00:35:00,73
07/25/21 00:36:00,0
07/25/21 00:37:00,3
07/25/21 00:38:00,-47
07/25/21 00:39:00,19
07/25/21 00:40:00,-26
07/25/21 00:41:00,0
07/25/21 00:42:00,-32
07/25/21 00:43:00,-75
07/25/21 00:44:01,-34
07/25/21 00:45:01,-57
07/25/21 00:46:01,-14
07/25/21 00:47:01,2
07/25/21 00:48:01,6
07/25/21 00:49:01,40
07/25/21 00:50:01,-2
07/25/21 00:51:02,2
07/25/21 00:52:02,0
07/25/21 00:53:02,5
07/25/21 00:54:02,-59
07/25/21 00:55:02,4
07/25/21 00:56:02,-18
07/25/21 00:57:02,-13
07/25/21 00:58:02,0
07/25/21 00:59:02,0
07/25/21 01:00:02,47
07/25/21 01:01:02,-1
07/25/21 01:02:02,-5
07/25/21 01:03:02,7
07/25/21 01:04:02,-36
07/25/21 01:05:02,0
07/25/21 01:06:02,-12
07/25/21 01:07:02,0
07/25/21 01:08:02,-8
07/25/21 01:09:02,-23
07/25/21 01:10:02,0
07/25/21 01:11:02,-23
07/25/21 01:12:02,-4
07/25/21 01:13:02,-35
07/25/21 01:14:02,4
07/25/21 01:15:02,20
07/25/21 01:16:02,-7
07/25/21 01:17:02,0
07/25/21 01:18:02,-5
07/25/21 01:19:02,0
07/25/21 01:20:02,-28
07/25/21 01:21:02,0
07/25/21 01:22:02,-10
