timestamp,Infrared to Red Signal Ratio
07/20/21 00:00:02,-20
07/20/21 00:01:02,0
07/20/21 00:02:02,0
07/20/21 00:03:02,0
07/20/21 00:04:02,16
07/20/21 00:05:02,0
07/20/21 00:06:02,4
07/20/21 00:07:02,7
07/20/21 00:08:02,-4
07/20/21 00:09:02,-3
07/20/21 00:10:02,-26
07/20/21 00:11:02,-2
07/20/21 00:12:02,-9
07/20/21 00:13:02,13
07/20/21 00:14:02,9
07/20/21 00:15:02,66
07/20/21 00:16:02,13
07/20/21 00:17:02,21
07/20/21 00:18:02,48
07/20/21 00:19:02,29
07/20/21 00:20:02,1
07/20/21 00:21:02,50
07/20/21 00:22:02,0
07/20/21 00:23:02,2
07/20/21 00:24:02,0
07/20/21 00:25:02,-10
07/20/21 00:26:02,-4
07/20/21 00:27:02,-5
07/20/21 00:28:02,0
07/20/21 00:29:02,0
07/20/21 00:30:02,-4
07/20/21 00:31:02,2
07/20/21 00:32:02,21
07/20/21 00:33:02,17
07/20/21 00:34:02,-3
07/20/21 00:35:02,0
07/20/21 00:36:02,0
07/20/21 00:37:02,0
07/20/21 00:38:02,6
07/20/21 00:39:03,0
07/20/21 00:40:03,0
07/20/21 00:41:03,45
07/20/21 00:42:03,0
07/20/21 00:43:03,0
07/20/21 00:44:03,0
07/20/21 00:45:03,0
07/20/21 00:46:03,0
07/20/21 00:47:03,30
07/20/21 00:48:03,43
07/20/21 00:49:03,5
07/20/21 00:50:03,24
07/20/21 00:51:03,0
07/20/21 00:52:03,0
07/20/21 00:53:03,0
07/20/21 00:54:03,0
07/20/21 00:55:03,0
07/20/21 00:56:03,17
07/20/21 00:57:03,0
07/20/21 00:58:03,0
07/20/21 00:59:03,31
07/20/21 01:00:03,63
07/20/21 01:01:03,2
07/20/21 01:02:03,-1
07/20/21 01:03:03,39
07/20/21 01:04:03,0
07/20/21 01:05:03,37
07/20/21 01:06:03,-26
07/20/21 01:07:03,6
07/20/21 01:08:03,14
07/20/21 01:09:03,28
07/20/21 01:10:03,-1
07/20/21 01:11:03,-1
07/20/21 01:12:03,0
07/20/21 01:13:03,45
07/20/21 01:14:03,25
07/20/21 01:15:03,-13
07/20/21 01:16:03,0
07/20/21 01:17:03,0
07/20/21 01:18:03,0
07/20/21 01:19:03,-10
07/20/21 01:20:03,3
07/20/21 01:21:03,40
07/20/21 01:22:03,-26
07/20/21 01:23:03,23
07/20/21 01:24:03,0
07/20/21 01:25:03,14
07/20/21 01:26:03,0
07/20/21 01:27:03,-5
07/20/21 01:28:03,0
07/20/21 01:29:03,2
07/20/21 01:30:03,-17
07/20/21 01:31:03,19
07/20/21 01:32:03,23
07/20/21 01:33:03,-13
07/20/21 01:34:03,-4
07/20/21 01:35:03,0
07/20/21 01:36:03,-14
07/20/21 01:37:03,12
07/20/21 01:38:03,-5
07/20/21 01:39:03,-2
07/20/21 01:40:03,-2
07/20/21 01:41:03,-39
07/20/21 01:42:03,0
07/20/21 01:43:03,-3
07/20/21 01:44:03,0
07/20/21 01:45:03,18
07/20/21 01:46:03,0
07/20/21 01:47:03,10
07/20/21 01:48:03,0
07/20/21 01:49:03,34
07/20/21 01:50:03,4
07/20/21 01:51:03,-33
07/20/21 01:52:03,-31
07/20/21 01:53:03,0
07/20/21 01:54:03,-39
