timestamp,Infrared to Red Signal Ratio
06/26/21 04:20:26,-19
06/26/21 04:21:26,-47
06/26/21 04:22:26,-32
06/26/21 04:23:26,-83
06/26/21 04:24:26,-51
06/26/21 04:25:26,-39
06/26/21 04:26:26,-3
06/26/21 04:27:26,-37
06/26/21 04:28:26,-30
06/26/21 04:29:26,22
06/26/21 04:30:26,-15
06/26/21 04:31:26,-66
06/26/21 04:32:26,-48
06/26/21 04:33:26,-22
06/26/21 04:34:26,-52
06/26/21 04:35:26,23
06/26/21 04:36:26,-20
06/26/21 04:37:26,5
06/26/21 04:38:26,26
06/26/21 04:39:26,18
06/26/21 04:40:26,27
06/26/21 04:41:26,0
06/26/21 04:42:26,6
06/26/21 04:43:26,-5
06/26/21 04:44:26,-8
06/26/21 04:45:26,-6
06/26/21 04:46:26,1
06/26/21 04:47:26,31
06/26/21 04:48:26,18
06/26/21 04:49:26,9
06/26/21 04:50:26,1
06/26/21 04:51:26,-3
06/26/21 04:52:26,-4
06/26/21 04:53:26,9
06/26/21 04:54:26,3
06/26/21 04:55:26,1
06/26/21 04:56:26,0
06/26/21 04:57:26,7
06/26/21 04:58:26,0
06/26/21 04:59:26,-4
06/26/21 05:00:27,25
06/26/21 05:01:27,-13
06/26/21 05:02:27,0
06/26/21 05:03:29,22
06/26/21 05:04:29,-58
06/26/21 05:05:29,3
06/26/21 05:06:29,0
06/26/21 05:07:29,-9
06/26/21 05:08:29,0
06/26/21 05:09:29,0
06/26/21 05:10:29,4
06/26/21 05:11:29,47
06/26/21 05:12:29,2
06/26/21 05:13:29,8
06/26/21 05:14:29,-4
06/26/21 05:15:29,10
06/26/21 05:16:29,-17
06/26/21 05:17:29,-59
06/26/21 05:18:29,8
06/26/21 05:19:29,1
06/26/21 05:20:29,-47
06/26/21 05:21:29,-13
06/26/21 05:22:29,-21
06/26/21 05:23:29,4
06/26/21 05:24:29,-4
06/26/21 05:25:29,-26
06/26/21 05:26:29,0
06/26/21 05:27:29,34
06/26/21 05:28:29,6
06/26/21 05:29:29,2
06/26/21 05:30:29,-4
06/26/21 05:31:29,45
06/26/21 05:32:29,1
06/26/21 05:33:29,0
06/26/21 05:34:29,-37
06/26/21 05:35:29,2
06/26/21 05:36:31,4
06/26/21 05:37:31,0
06/26/21 05:38:31,0
06/26/21 05:39:31,-1
06/26/21 05:40:31,0
06/26/21 05:41:31,21
06/26/21 05:42:31,0
06/26/21 05:43:31,-44
06/26/21 05:44:31,0
06/26/21 05:45:31,-6
06/26/21 05:46:31,12
06/26/21 05:47:31,-3
06/26/21 05:48:31,0
06/26/21 05:49:31,0
06/26/21 05:50:31,21
06/26/21 05:51:31,0
06/26/21 05:52:31,0
06/26/21 05:53:31,21
06/26/21 05:54:31,30
06/26/21 05:55:31,13
06/26/21 05:56:31,0
06/26/21 05:57:31,-4
06/26/21 05:58:31,0
06/26/21 05:59:31,4
06/26/21 06:00:31,0
06/26/21 06:01:31,-2
06/26/21 06:02:31,0
06/26/21 06:03:31,9
06/26/21 06:04:31,0
06/26/21 06:05:31,7
06/26/21 06:06:31,-3
06/26/21 06:07:31,-13
06/26/21 06:08:31,18
06/26/21 06:09:31,20
06/26/21 06:10:31,-19
06/26/21 06:11:31,1
06/26/21 06:12:31,-7
06/26/21 06:13:31,29
06/26/21 06:14:31,0
06/26/21 06:15:31,0
06/26/21 06:16:31,8
06/26/21 06:17:31,25
06/26/21 06:18:31,-5
06/26/21 06:19:31,0
06/26/21 06:20:31,3
06/26/21 06:21:31,0
06/26/21 06:22:31,0
06/26/21 06:23:31,0
06/26/21 06:24:31,56
06/26/21 06:25:31,19
06/26/21 06:26:31,1
06/26/21 06:27:31,31
06/26/21 06:28:31,1
06/26/21 06:29:31,-3
06/26/21 06:30:31,0
06/26/21 06:31:31,-58
06/26/21 06:32:31,-13
06/26/21 06:33:31,-28
06/26/21 06:34:31,-34
06/26/21 06:35:31,0
06/26/21 06:36:31,68
06/26/21 06:37:31,-4
06/26/21 06:38:31,7
06/26/21 06:39:31,-28
06/26/21 06:40:31,-39
06/26/21 06:41:31,-2
06/26/21 06:42:31,4
06/26/21 06:43:31,-26
06/26/21 06:44:31,0
06/26/21 06:45:31,12
06/26/21 06:46:31,3
06/26/21 06:47:31,30
06/26/21 06:48:31,26
06/26/21 06:49:31,-5
06/26/21 06:50:31,17
06/26/21 06:51:31,0
06/26/21 06:52:31,0
06/26/21 06:53:31,-12
06/26/21 06:54:31,1
06/26/21 06:55:31,21
06/26/21 06:56:31,13
06/26/21 06:57:31,26
06/26/21 06:58:31,0
06/26/21 06:59:31,5
06/26/21 07:00:31,0
06/26/21 07:01:31,-11
06/26/21 07:02:31,19
06/26/21 07:03:31,0
06/26/21 07:04:31,42
06/26/21 07:05:31,-37
06/26/21 07:06:31,0
06/26/21 07:07:31,21
06/26/21 07:08:31,31
06/26/21 07:09:31,4
06/26/21 07:10:31,8
06/26/21 07:11:31,-12
06/26/21 07:12:31,28
06/26/21 07:13:31,-37
06/26/21 07:14:31,0
06/26/21 07:15:31,1
06/26/21 07:16:31,65
06/26/21 07:17:31,-5
06/26/21 07:18:31,-6
06/26/21 07:19:31,13
06/26/21 07:20:31,0
06/26/21 07:21:31,3
06/26/21 07:22:31,44
06/26/21 07:23:31,5
06/26/21 07:24:31,0
06/26/21 07:25:31,23
06/26/21 07:26:31,-9
06/26/21 07:27:31,-2
06/26/21 07:28:31,-32
06/26/21 07:29:31,16
06/26/21 07:30:31,-8
06/26/21 07:31:31,29
06/26/21 07:32:31,1
06/26/21 07:33:31,13
06/26/21 07:34:31,0
06/26/21 07:35:31,-13
06/26/21 07:36:31,-11
06/26/21 07:37:31,-27
06/26/21 07:38:31,18
06/26/21 07:39:31,-4
06/26/21 07:40:31,63
06/26/21 07:41:31,-65
06/26/21 07:42:31,59
06/26/21 07:43:31,0
06/26/21 07:44:31,17
06/26/21 07:45:31,-21
06/26/21 07:46:31,26
06/26/21 07:47:31,59
06/26/21 07:48:31,0
06/26/21 07:49:31,-45
06/26/21 07:50:31,0
06/26/21 07:51:31,-10
06/26/21 07:52:31,0
06/26/21 07:53:31,-13
06/26/21 07:54:31,0
06/26/21 07:55:31,0
06/26/21 07:56:31,0
06/26/21 07:57:31,34
06/26/21 07:58:31,-4
06/26/21 07:59:31,2
06/26/21 08:00:31,16
06/26/21 08:01:31,-21
06/26/21 08:02:31,-17
06/26/21 08:03:31,31
06/26/21 08:04:31,0
06/26/21 08:05:31,0
06/26/21 08:06:31,0
06/26/21 08:07:31,8
06/26/21 08:08:31,0
06/26/21 08:09:31,0
06/26/21 08:10:31,0
06/26/21 08:11:31,-12
06/26/21 08:12:32,0
06/26/21 08:13:32,0
06/26/21 08:14:32,0
06/26/21 08:15:32,-13
06/26/21 08:16:32,-13
06/26/21 08:17:32,0
06/26/21 08:18:32,0
06/26/21 08:19:32,3
06/26/21 08:20:32,0
06/26/21 08:21:32,0
06/26/21 08:22:32,7
06/26/21 08:23:32,-12
06/26/21 08:24:32,-2
06/26/21 08:25:32,-4
06/26/21 08:26:32,0
06/26/21 08:27:32,-5
06/26/21 08:28:32,-14
06/26/21 08:29:32,0
06/26/21 08:30:32,-4
06/26/21 08:31:32,0
06/26/21 08:32:32,0
06/26/21 08:33:32,0
06/26/21 08:34:32,0
06/26/21 08:35:32,-4
06/26/21 08:36:32,-23
06/26/21 08:37:32,-3
06/26/21 08:38:32,-30
06/26/21 08:39:32,7
06/26/21 08:40:32,21
06/26/21 08:41:32,0
06/26/21 11:01:29,-8
06/26/21 11:02:29,0
06/26/21 11:03:29,17
06/26/21 11:04:29,0
06/26/21 11:05:29,-3
06/26/21 11:06:29,-11
06/26/21 11:07:29,1
06/26/21 11:08:29,-1
06/26/21 11:09:32,2
06/26/21 11:10:32,33
06/26/21 11:11:32,0
06/26/21 11:12:32,25
06/26/21 11:13:32,-3
06/26/21 11:14:32,29
06/26/21 11:15:32,-23
06/26/21 11:16:32,0
06/26/21 11:17:32,0
06/26/21 11:18:32,-20
06/26/21 11:19:32,0
06/26/21 11:20:32,0
06/26/21 11:21:32,-31
06/26/21 11:22:32,0
06/26/21 11:23:32,-12
06/26/21 11:24:32,15
06/26/21 11:25:32,-8
06/26/21 11:26:32,0
06/26/21 11:27:32,-2
06/26/21 11:28:32,0
06/26/21 11:29:32,0
06/26/21 11:30:32,13
06/26/21 13:11:59,-30
06/26/21 13:12:59,-25
06/26/21 13:13:59,-4
06/26/21 13:14:59,-30
06/26/21 13:15:59,6
06/26/21 13:16:59,-11
06/26/21 13:17:59,0
06/26/21 13:18:59,0
06/26/21 13:19:59,-1
06/26/21 13:20:59,0
06/26/21 13:21:59,-18
06/26/21 13:22:59,-34
06/26/21 13:23:59,-30
06/26/21 13:25:00,-8
06/26/21 13:26:00,0
06/26/21 13:27:00,10
06/26/21 13:28:00,12
06/26/21 13:29:00,-30
06/26/21 13:30:00,-17
06/26/21 13:31:00,11
06/26/21 13:32:00,0
06/26/21 13:33:00,-2
06/26/21 13:34:00,0
06/26/21 13:35:00,0
06/26/21 13:36:00,0
06/26/21 13:37:00,0
06/26/21 13:38:00,0
06/26/21 13:39:00,0
06/26/21 13:40:00,0
06/26/21 13:41:01,0
06/26/21 13:42:01,0
06/26/21 13:43:01,24
06/26/21 13:44:01,-22
06/26/21 13:45:01,0
06/26/21 13:46:01,13
06/26/21 13:47:01,-1
06/26/21 13:48:01,16
06/26/21 13:49:02,4
06/26/21 13:50:02,1
06/26/21 13:51:02,0
06/26/21 13:52:02,-20
06/26/21 13:53:02,1
06/26/21 13:54:02,-21
06/26/21 13:55:02,1
06/26/21 13:56:02,13
06/26/21 13:57:02,5
06/26/21 13:58:02,0
06/26/21 13:59:02,-15
06/26/21 14:00:02,0
06/26/21 14:01:02,3
06/26/21 14:02:02,0
06/26/21 14:03:02,0
06/26/21 14:04:02,17
06/26/21 14:05:02,0
06/26/21 14:06:02,43
06/26/21 14:07:02,0
06/26/21 14:08:02,-3
06/26/21 14:09:02,-4
06/26/21 14:10:02,0
06/26/21 14:11:02,4
06/26/21 14:12:02,-1
06/26/21 14:13:02,-1
06/26/21 14:14:02,-29
06/26/21 14:15:02,0
06/26/21 14:16:02,0
06/26/21 14:17:02,23
06/26/21 14:18:02,39
