timestamp,Infrared to Red Signal Ratio
08/05/21 02:27:29,20
08/05/21 02:28:29,-2
08/05/21 02:29:29,3
08/05/21 02:30:29,-5
08/05/21 02:31:29,-2
08/05/21 02:32:29,-9
08/05/21 02:33:29,-3
08/05/21 02:34:29,-41
08/05/21 02:35:29,0
08/05/21 02:36:29,0
08/05/21 02:37:29,0
08/05/21 02:38:29,0
08/05/21 02:39:29,0
08/05/21 02:40:29,5
08/05/21 02:41:29,-63
08/05/21 02:42:29,-27
08/05/21 02:43:29,63
08/05/21 02:44:29,-12
08/05/21 02:45:29,0
08/05/21 02:46:29,-40
08/05/21 02:47:29,-5
08/05/21 02:48:29,0
08/05/21 02:49:29,6
08/05/21 02:50:29,-7
08/05/21 02:51:29,4
08/05/21 02:52:29,0
08/05/21 02:53:29,0
08/05/21 02:54:29,17
08/05/21 02:55:29,20
08/05/21 02:56:29,62
08/05/21 02:57:29,17
08/05/21 02:58:29,27
08/05/21 02:59:29,32
08/05/21 03:00:29,-75
08/05/21 03:01:29,-10
08/05/21 03:02:29,13
08/05/21 03:03:29,0
08/05/21 03:04:29,12
08/05/21 03:05:29,14
08/05/21 03:06:29,-73
08/05/21 03:07:29,0
08/05/21 03:08:29,-21
08/05/21 03:09:29,-22
08/05/21 03:10:29,5
08/05/21 03:11:29,-62
08/05/21 03:12:29,-33
08/05/21 03:13:29,-8
08/05/21 03:14:29,-13
08/05/21 03:15:29,-22
08/05/21 03:16:29,-1
08/05/21 03:17:29,0
08/05/21 03:18:29,-17
08/05/21 03:19:29,-4
08/05/21 03:20:29,-23
08/05/21 03:21:29,0
08/05/21 03:22:29,-6
08/05/21 03:23:29,-15
08/05/21 03:24:29,-19
08/05/21 03:25:29,-14
08/05/21 03:26:29,-1
08/05/21 03:27:29,0
08/05/21 03:28:29,4
08/05/21 03:29:29,-30
08/05/21 03:30:29,0
08/05/21 03:31:29,25
08/05/21 03:32:29,7
08/05/21 03:33:29,0
08/05/21 03:34:29,-4
08/05/21 03:35:29,27
08/05/21 03:36:29,19
08/05/21 03:37:30,-1
08/05/21 03:38:30,2
08/05/21 03:39:30,13
08/05/21 03:40:30,0
08/05/21 03:41:30,4
08/05/21 03:42:30,20
08/05/21 03:43:30,6
08/05/21 03:44:30,0
08/05/21 03:45:30,-5
08/05/21 03:46:30,-47
08/05/21 03:47:30,7
08/05/21 03:48:30,0
08/05/21 03:49:30,-39
08/05/21 03:50:30,2
08/05/21 03:51:30,26
08/05/21 03:52:30,0
08/05/21 03:53:30,-54
08/05/21 03:54:30,3
08/05/21 03:55:30,21
08/05/21 03:56:30,0
08/05/21 03:57:30,-29
08/05/21 03:58:30,22
08/05/21 03:59:30,-1
08/05/21 04:00:30,16
08/05/21 04:01:30,-26
08/05/21 04:02:30,39
08/05/21 04:03:30,-61
08/05/21 04:04:30,0
08/05/21 04:05:30,0
08/05/21 04:06:30,0
08/05/21 04:07:30,-22
08/05/21 04:08:30,0
08/05/21 04:09:30,14
08/05/21 04:10:30,0
08/05/21 04:11:30,-27
08/05/21 04:12:30,0
08/05/21 04:13:30,30
08/05/21 04:14:30,0
08/05/21 04:15:30,29
08/05/21 04:16:30,-17
08/05/21 04:17:30,0
08/05/21 04:18:30,0
08/05/21 04:19:30,14
08/05/21 04:20:30,0
08/05/21 04:21:30,5
08/05/21 04:22:30,2
08/05/21 04:23:30,26
08/05/21 04:24:30,68
08/05/21 04:25:30,18
08/05/21 04:26:30,13
08/05/21 04:27:30,-30
08/05/21 04:28:30,0
08/05/21 04:29:30,27
08/05/21 04:30:30,26
08/05/21 04:31:30,-1
08/05/21 04:32:30,8
08/05/21 04:33:30,-2
08/05/21 04:34:30,35
08/05/21 04:35:30,11
08/05/21 04:36:30,5
08/05/21 04:37:30,9
08/05/21 04:38:30,0
08/05/21 04:39:30,-19
08/05/21 04:40:30,-13
08/05/21 04:41:30,0
08/05/21 04:42:30,0
08/05/21 04:43:30,0
08/05/21 04:44:30,13
08/05/21 04:45:30,0
08/05/21 04:46:31,2
08/05/21 04:47:31,15
08/05/21 04:48:31,0
08/05/21 04:49:31,-18
08/05/21 04:50:31,-25
08/05/21 04:51:31,10
08/05/21 04:52:32,0
