timestamp,Infrared to Red Signal Ratio
09/20/21 02:12:30,-4
09/20/21 02:13:30,-29
09/20/21 02:14:30,0
09/20/21 02:15:30,0
09/20/21 02:16:30,2
09/20/21 02:17:30,-7
09/20/21 02:18:30,2
09/20/21 02:19:30,-3
09/20/21 02:20:30,-37
09/20/21 02:21:30,9
09/20/21 02:22:30,28
09/20/21 02:23:30,10
09/20/21 02:24:30,0
09/20/21 02:25:30,0
09/20/21 02:26:30,0
09/20/21 02:27:30,0
09/20/21 02:28:30,-28
09/20/21 02:29:30,0
09/20/21 02:30:30,2
09/20/21 02:31:30,0
09/20/21 02:32:30,2
09/20/21 02:33:30,-2
09/20/21 02:34:30,-14
09/20/21 02:35:30,-11
09/20/21 02:36:30,-26
09/20/21 02:37:30,0
09/20/21 02:38:30,-1
09/20/21 02:39:30,11
09/20/21 02:40:30,5
09/20/21 02:41:30,-4
09/20/21 02:42:30,-13
09/20/21 03:56:00,8
09/20/21 03:57:00,0
09/20/21 03:58:00,-2
09/20/21 03:59:00,-2
09/20/21 04:00:00,-38
09/20/21 04:01:00,0
09/20/21 04:02:00,0
09/20/21 04:03:00,0
09/20/21 04:04:00,10
09/20/21 04:05:00,-1
09/20/21 04:06:02,9
09/20/21 04:07:02,0
09/20/21 04:08:02,-35
09/20/21 04:09:02,-7
09/20/21 04:10:02,-26
09/20/21 04:11:02,-13
09/20/21 04:12:02,0
09/20/21 04:13:02,-1
09/20/21 04:14:02,0
09/20/21 04:15:02,17
09/20/21 04:16:02,19
09/20/21 04:17:02,4
09/20/21 04:18:02,0
09/20/21 04:19:02,-26
09/20/21 04:20:02,2
09/20/21 04:21:02,0
09/20/21 04:22:02,0
09/20/21 04:23:02,-1
09/20/21 04:24:02,1
09/20/21 04:25:02,-7
09/20/21 04:26:02,-28
09/20/21 04:27:02,12
09/20/21 04:28:02,0
09/20/21 04:29:02,0
09/20/21 04:30:02,-65
09/20/21 04:31:02,49
09/20/21 04:32:02,24
09/20/21 04:33:02,17
09/20/21 04:34:02,11
