timestamp,full_sleep_breathing_rate,full_sleep_standard_deviation,full_sleep_signal_to_noise,deep_sleep_breathing_rate,deep_sleep_standard_deviation,deep_sleep_signal_to_noise,light_sleep_breathing_rate,light_sleep_standard_deviation,light_sleep_signal_to_noise,rem_sleep_breathing_rate,rem_sleep_standard_deviation,rem_sleep_signal_to_noise
2021-09-09T06:08:30,18.0,1.0,4.693,15.2,1.5,9.224,,,,15.0,1.5,3.545
2021-09-10T05:07:00,15.2,0.7,12.35,13.8,1.5,12.541,,,,14.0,2.1,3.812
2021-09-11T07:02:00,15.6,0.7,5.837,14.4,1.6,12.735,,,,-1.0,0.0,2.264
2021-09-12T06:20:30,14.8,1.1,6.629,15.4,1.0,11.089,,,,13.4,1.2,3.521
2021-09-13T06:38:00,15.8,1.4,7.477,15.6,2.1,12.681,,,,15.2,1.7,4.766
2021-09-14T06:49:30,15.2,0.9,10.383,14.4,1.8,11.631,,,,29.4,0.5,4.846
2021-09-15T06:49:00,14.4,1.8,6.684,14.4,1.8,6.684,,,,13.0,0.5,3.024
2021-09-16T05:35:30,15.4,1.7,11.008,15.4,1.8,11.256,,,,13.4,1.7,4.017
2021-09-17T09:15:00,14.4,1.0,7.243,14.4,1.6,12.918,,,,15.6,2.5,4.722
2021-09-18T10:13:00,15.0,1.0,9.201,13.8,0.8,10.975,,,,-1.0,0.0,1.409
2021-09-19T04:59:30,15.6,1.3,9.926,15.0,1.1,11.113,,,,14.4,1.3,4.486
2021-09-20T08:45:30,14.8,0.8,9.353,14.8,1.2,13.698,,,,13.2,1.3,5.487
2021-09-21T03:36:30,16.2,1.3,11.338,15.4,1.6,8.152,,,,-1.0,0.0,1.397
2021-09-22T08:44:00,14.0,1.0,12.461,13.8,1.1,7.215,,,,13.2,1.0,4.486
2021-09-23T06:47:30,14.6,1.0,9.949,14.0,1.6,15.195,,,,14.6,1.9,7.561
2021-09-24T04:17:30,15.0,0.9,12.449,15.2,0.7,7.151,,,,16.4,1.3,4.871
2021-09-25T05:12:00,15.8,0.8,14.597,14.6,1.9,8.946,,,,15.4,1.4,4.632
2021-09-27T08:35:30,14.6,1.6,8.251,14.4,1.6,11.086,,,,14.6,1.5,4.764
2021-09-28T08:18:30,13.8,0.5,7.008,13.8,1.5,8.841,,,,14.8,0.7,2.834
2021-09-29T09:04:30,13.8,1.0,12.298,13.2,0.9,9.385,,,,14.2,1.8,4.332
2021-09-30T08:31:00,14.4,0.9,8.714,13.8,1.5,8.518,,,,12.2,1.3,2.976
