timestamp,full_sleep_breathing_rate,full_sleep_standard_deviation,full_sleep_signal_to_noise,deep_sleep_breathing_rate,deep_sleep_standard_deviation,deep_sleep_signal_to_noise,light_sleep_breathing_rate,light_sleep_standard_deviation,light_sleep_signal_to_noise,rem_sleep_breathing_rate,rem_sleep_standard_deviation,rem_sleep_signal_to_noise
2021-07-01T02:11:00,16.0,0.8,5.907,15.2,1.4,9.845,,,,15.0,1.7,3.864
2021-07-02T06:50:30,14.6,1.0,11.415,13.6,1.7,9.281,,,,13.4,1.6,7.628
2021-07-03T06:59:00,15.6,0.8,11.165,14.6,1.8,9.261,,,,13.0,1.1,3.542
2021-07-04T07:12:30,14.4,1.0,12.688,14.0,1.4,10.953,,,,12.2,0.8,3.509
2021-07-05T03:35:00,15.6,0.8,5.946,14.0,0.8,7.151,,,,13.4,0.6,3.687
2021-07-06T04:08:30,14.2,0.9,13.72,13.4,1.2,9.367,,,,13.0,1.9,4.798
2021-07-07T04:18:30,14.8,1.1,12.909,14.2,1.8,11.148,,,,12.2,1.6,3.682
2021-07-08T04:31:30,14.2,0.8,12.933,14.0,1.3,11.068,,,,14.0,2.0,7.207
2021-07-09T06:10:00,16.6,0.9,8.85,14.4,1.9,15.786,,,,16.0,1.6,6.469
2021-07-10T05:55:00,14.0,1.3,7.847,14.4,1.6,8.502,,,,13.6,0.7,3.505
2021-07-11T02:23:30,14.0,1.4,11.916,14.0,1.4,11.916,,,,16.0,0.7,3.188
2021-07-12T04:58:30,14.4,1.3,11.911,13.6,1.5,7.913,,,,11.0,1.7,2.545
2021-07-15T08:22:00,15.0,1.1,7.358,14.0,1.3,11.635,,,,12.8,0.6,3.239
2021-07-16T06:12:30,14.0,1.4,13.229,13.8,1.0,14.062,,,,14.4,2.4,5.206
2021-07-17T07:16:00,14.2,1.1,11.471,13.8,1.1,15.686,,,,13.6,1.9,7.648
2021-07-18T05:46:30,13.2,0.6,8.214,14.0,1.8,15.496,,,,15.6,0.6,4.684
2021-07-19T07:09:30,14.2,1.0,15.219,13.6,1.5,9.35,,,,13.0,1.5,4.873
2021-07-20T04:49:30,13.6,0.5,6.343,13.6,1.5,12.371,,,,13.4,2.0,5.409
2021-07-21T08:22:30,13.8,0.6,11.37,13.6,0.7,7.211,,,,13.2,0.6,4.706
2021-07-22T02:37:30,15.0,0.9,13.412,14.6,0.9,11.79,,,,13.2,0.7,4.358
2021-07-23T07:17:30,15.0,1.0,7.885,14.2,1.5,9.143,,,,14.8,2.5,3.529
2021-07-24T08:20:00,14.2,1.1,11.761,14.6,1.1,10.084,,,,13.8,1.4,4.095
2021-07-25T02:44:30,14.6,0.7,9.985,15.4,1.5,9.463,,,,9.4,0.6,2.671
2021-07-26T07:45:00,15.6,0.8,6.897,13.2,0.6,9.081,,,,13.2,1.0,4.58
2021-07-27T08:29:00,15.8,0.6,8.508,14.8,1.7,12.59,,,,17.2,2.2,4.652
2021-07-28T07:58:30,14.0,0.7,8.9,14.0,1.4,11.917,,,,13.2,1.9,2.612
2021-07-29T07:44:00,14.2,1.3,12.319,13.2,1.1,11.051,,,,13.2,1.8,7.356
2021-07-30T08:06:00,14.0,0.8,9.387,14.2,1.6,11.598,,,,16.8,0.5,3.315
2021-07-31T05:31:00,14.4,0.8,13.659,14.4,0.8,9.848,,,,13.0,0.5,5.822
2021-07-31T08:13:00,14.4,0.9,15.452,14.4,1.0,11.155,,,,13.0,0.5,4.933
