type,sleep_start,sleep_end,temperature_samples,nightly_temperature,baseline_relative_sample_sum,baseline_relative_sample_sum_of_squares,baseline_relative_nightly_standard_deviation,baseline_relative_sample_standard_deviation
SKIN,2021-06-30T22:51:30,2021-07-01T02:11,199,32.95082914572865,-49.68194345461325,75.59308319311822,0.4974275089064913,1.0674348309598913
SKIN,2021-07-01T22:06,2021-07-02T06:50:30,525,33.61302857142857,216.58424465491407,532.2780560622923,0.4948128107226739,1.0691504324639154
SKIN,2021-07-02T23:11,2021-07-03T06:59,468,32.98825854700855,-99.32298762190658,322.45618492539506,0.49027465398524017,1.055864916937401
SKIN,2021-07-03T22:49,2021-07-04T07:12:30,504,32.75982142857143,-166.2480313347587,379.6150948861614,0.4960528415516845,1.05697743506944
SKIN,2021-07-04T23:01,2021-07-05T03:35,274,32.823722627737226,-66.96138682106357,179.37573622260243,0.5012495974310345,1.057635041196181
SKIN,2021-07-05T22:22,2021-07-06T04:08:30,347,31.952103746397693,-385.24437807276445,869.8550495293457,0.5521277262161222,1.0784084864554484
SKIN,2021-07-06T22:46,2021-07-07T04:18:30,333,32.217687687687686,-278.34954312195623,711.7303420605604,0.5587823410058474,1.0831133412237712
SKIN,2021-07-07T22:53,2021-07-08T04:31:30,339,30.8923598820059,-721.6478365209332,2138.124871402164,0.6914090643529427,1.1474641893609963
SKIN,2021-07-08T20:55:30,2021-07-09T06:10,554,32.9868953068592,-18.957467352793174,640.4092703403439,0.6746167279484738,1.1423156116160182
SKIN,2021-07-10T00:16,2021-07-10T05:55,339,32.032536873156346,-324.6141839075208,570.8408631089842,0.700912614909516,1.1325463187837064
SKIN,2021-07-10T22:50:30,2021-07-11T02:23:30,213,33.50680751173709,110.0585216156278,144.00625178503105,0.6922756259224417,1.1288370132613648
SKIN,2021-07-12T01:04:30,2021-07-12T04:58:30,234,33.56207264957265,126.58419248997416,129.03941245021997,0.6977349303446722,1.1377409561636607
SKIN,2021-07-15T02:14:30,2021-07-15T08:22,367,32.1474795640327,-309.2420073571102,565.0993376409169,0.6902237944980693,1.1349049805218017
SKIN,2021-07-15T22:33,2021-07-16T06:12:30,460,33.20220652173913,97.56861475675396,971.4766931750346,0.6848745573798277,1.1531798323517846
SKIN,2021-07-16T22:10,2021-07-17T07:16,546,32.04455128205128,-514.8920021058948,1528.993527395185,0.6852748160577695,1.180007671790281
SKIN,2021-07-17T22:48,2021-07-18T05:46:30,419,33.317291169451074,138.15026761470472,217.94701131735928,0.6892570922844231,1.1836501546482943
SKIN,2021-07-19T00:01,2021-07-19T07:09:30,429,33.507482517482515,223.03949834536616,658.148513221764,0.6792443260177583,1.1938669113510847
SKIN,2021-07-19T22:29,2021-07-20T04:49:30,381,33.03753280839895,19.03319083819224,744.1751506653382,0.679547686211834,1.2081072913809823
SKIN,2021-07-21T04:17,2021-07-21T08:22:30,246,33.670020325203254,161.65266328487724,207.30777427682187,0.6951550114323155,1.2089826146409042
SKIN,2021-07-21T22:13,2021-07-22T02:37:30,265,33.58622641509434,151.93264540850578,205.8799320408143,0.7008941393910878,1.2232033724968363
SKIN,2021-07-22T23:39:30,2021-07-23T07:17:30,458,33.57057860262009,255.4187796116821,500.04091376264114,0.6991795366362419,1.2306158680802757
SKIN,2021-07-24T03:51:30,2021-07-24T08:20,268,33.51707089552239,126.807280203142,233.83924771472812,0.6984759656780879,1.2186284036229507
SKIN,2021-07-24T23:26:30,2021-07-25T02:44:30,198,33.81805555555555,153.28093835903746,366.12337519810535,0.7140262613948385,1.2240529747205895
SKIN,2021-07-26T02:22:30,2021-07-26T07:45,322,32.853493788819875,-51.32740822060805,145.98973030934576,0.692371976417686,1.2156831813253306
SKIN,2021-07-27T01:08:30,2021-07-27T08:29,440,33.71478409090909,308.8309018103482,876.7790361092193,0.70729346376349,1.2444043179717947
SKIN,2021-07-28T03:13:30,2021-07-28T07:58:30,285,31.73257894736842,-364.8902681455693,1019.397444516886,0.7403069328097792,1.2594198119796045
SKIN,2021-07-28T23:14,2021-07-29T07:44,510,32.09492156862745,-455.2542327362753,1292.5704271064606,0.7428368747205225,1.2764114032763276
SKIN,2021-07-30T01:38,2021-07-30T08:06,382,32.732002617801044,-97.62938608873992,601.1029558981536,0.7427324155617993,1.2657551203677513
SKIN,2021-07-31T00:35:30,2021-07-31T08:13,457,33.334168490153175,146.8216752893859,431.4982965749223,0.7474728976605963,1.2662879679308616
SKIN,2021-08-01T00:04:30,2021-08-01T06:22:30,378,32.608121693121696,-143.43407838100393,525.1683781507891,0.7360347252091114,1.2701019546621641
