timestamp,full_sleep_breathing_rate,full_sleep_standard_deviation,full_sleep_signal_to_noise,deep_sleep_breathing_rate,deep_sleep_standard_deviation,deep_sleep_signal_to_noise,light_sleep_breathing_rate,light_sleep_standard_deviation,light_sleep_signal_to_noise,rem_sleep_breathing_rate,rem_sleep_standard_deviation,rem_sleep_signal_to_noise
2021-06-14T03:15:30,15.4,0.8,7.715,14.8,1.1,9.554,,,,-1.0,0.0,1.665
2021-06-14T06:53:30,15.0,1.1,12.993,14.6,1.6,15.691,,,,15.4,0.8,3.794
2021-06-15T06:36:30,14.0,0.6,10.23,14.6,1.9,14.961,,,,15.6,1.7,6.75
2021-06-16T06:22:30,14.8,0.8,10.89,14.0,1.3,16.779,,,,13.8,2.0,5.549
2021-06-17T06:43:00,14.4,0.6,9.955,13.6,1.2,11.269,,,,14.2,1.0,4.666
2021-06-18T04:29:30,15.2,1.0,10.652,14.6,0.9,12.221,,,,13.2,0.6,3.544
2021-06-19T07:51:00,15.6,1.0,8.37,15.4,1.6,8.988,,,,16.2,0.5,3.113
2021-06-20T06:10:30,14.8,1.2,13.792,14.6,0.9,9.48,,,,14.6,1.3,4.088
2021-06-21T04:54:00,15.4,1.4,8.513,14.8,1.7,10.805,,,,15.8,1.7,3.897
2021-06-22T08:18:00,15.2,0.9,8.786,14.4,1.4,10.754,,,,14.4,2.0,6.076
2021-06-23T05:04:30,14.4,0.7,10.058,14.0,1.5,15.578,,,,15.6,0.7,4.543
2021-06-24T06:37:00,14.6,1.1,15.549,14.2,1.7,8.834,,,,13.4,1.2,6.34
2021-06-25T07:27:30,14.8,0.8,14.895,14.2,1.8,11.6,,,,15.8,1.3,4.73
2021-06-26T07:53:30,14.6,0.8,9.392,14.4,1.4,7.146,,,,13.8,1.5,4.777
2021-06-27T08:23:00,16.6,0.5,4.314,15.4,1.4,10.593,,,,14.4,2.4,6.088
2021-06-28T06:21:30,15.6,0.6,11.422,14.8,1.2,6.901,,,,14.4,0.6,3.067
2021-06-29T07:50:00,15.0,1.2,10.956,14.0,1.9,5.56,,,,13.0,2.7,2.89
2021-06-30T04:58:30,14.2,1.1,11.673,14.4,1.5,14.809,,,,13.4,2.0,3.815
2021-06-30T07:31:00,14.6,1.3,14.246,14.2,1.6,13.466,,,,13.4,2.1,3.328
