timestamp,bucket_values
2021-07-01T02:11:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.004, 0.016, 0.052, 0.2, 0.238, 0.24, 0.166, 0.069, 0.012, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-07-02T06:50:30,"[0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.004, 0.016, 0.052, 0.09, 0.093, 0.214, 0.28, 0.174, 0.056, 0.013, 0.004, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-07-03T06:59:00,"[0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.001, 0.005, 0.018, 0.048, 0.147, 0.287, 0.24, 0.163, 0.065, 0.017, 0.005, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-07-04T07:12:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.003, 0.004, 0.016, 0.103, 0.297, 0.347, 0.164, 0.043, 0.014, 0.004, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-07-05T03:35:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.017, 0.107, 0.181, 0.12, 0.18, 0.192, 0.138, 0.053, 0.008, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-07-06T04:08:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.021, 0.088, 0.148, 0.234, 0.272, 0.153, 0.066, 0.012, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-07-07T04:18:30,"[0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.001, 0.003, 0.006, 0.035, 0.141, 0.201, 0.306, 0.226, 0.066, 0.01, 0.003, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-07-08T04:31:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.003, 0.004, 0.011, 0.034, 0.133, 0.3, 0.303, 0.164, 0.04, 0.006, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-07-09T06:10:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.004, 0.006, 0.02, 0.049, 0.108, 0.193, 0.347, 0.212, 0.045, 0.009, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-07-10T05:55:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.003, 0.004, 0.014, 0.059, 0.236, 0.4, 0.186, 0.071, 0.019, 0.006, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
