timestamp,bucket_values
2021-08-01T06:22:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.003, 0.005, 0.047, 0.183, 0.139, 0.127, 0.248, 0.196, 0.042, 0.007, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-08-02T08:02:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.001, 0.005, 0.011, 0.047, 0.158, 0.28, 0.265, 0.161, 0.047, 0.016, 0.005, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-08-03T03:06:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.005, 0.027, 0.141, 0.093, 0.069, 0.164, 0.291, 0.17, 0.035, 0.003, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-08-04T09:28:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.001, 0.003, 0.01, 0.029, 0.054, 0.149, 0.366, 0.26, 0.098, 0.021, 0.005, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-08-05T08:00:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.003, 0.004, 0.008, 0.011, 0.046, 0.131, 0.192, 0.32, 0.207, 0.06, 0.014, 0.004, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-08-06T07:33:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.002, 0.005, 0.015, 0.043, 0.098, 0.273, 0.32, 0.169, 0.05, 0.017, 0.003, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-08-07T07:24:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.004, 0.005, 0.019, 0.071, 0.209, 0.294, 0.262, 0.109, 0.019, 0.004, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-08-08T06:07:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.003, 0.013, 0.146, 0.137, 0.168, 0.207, 0.19, 0.101, 0.027, 0.006, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-08-10T08:06:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.008, 0.045, 0.081, 0.142, 0.165, 0.184, 0.251, 0.1, 0.019, 0.003, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-08-11T08:03:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.003, 0.004, 0.016, 0.073, 0.152, 0.213, 0.31, 0.18, 0.037, 0.007, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-08-12T08:56:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.003, 0.005, 0.004, 0.022, 0.135, 0.34, 0.237, 0.178, 0.06, 0.014, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-08-13T04:39:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.008, 0.029, 0.06, 0.193, 0.297, 0.261, 0.113, 0.032, 0.003, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-08-14T07:24:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.008, 0.03, 0.139, 0.125, 0.172, 0.254, 0.191, 0.059, 0.016, 0.003, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-08-15T06:00:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.003, 0.021, 0.057, 0.127, 0.13, 0.136, 0.253, 0.219, 0.047, 0.005, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
