type,sleep_start,sleep_end,temperature_samples,nightly_temperature,baseline_relative_sample_sum,baseline_relative_sample_sum_of_squares,baseline_relative_nightly_standard_deviation,baseline_relative_sample_standard_deviation
SKIN,2021-05-05T23:05,2021-05-06T06:18:30,434,33.5322465437788,NaN,NaN,NaN,NaN
SKIN,2021-05-06T23:38,2021-05-07T02:44:30,187,33.316631016042784,NaN,NaN,NaN,NaN
SKIN,2021-05-07T22:45,2021-05-08T04:59,354,32.41450564971751,-319.3523796791451,881.4868709936272,0.5929678095008344,1.2965316431417309
SKIN,2021-05-08T23:24:30,2021-05-09T07:16,471,31.435944798301485,-673.3526847865487,1989.8511498074513,0.957370876247491,1.4265329842045762
SKIN,2021-05-09T23:41:30,2021-05-10T05:56:30,375,33.00284,0.0,455.4662504000589,0.8419840232277507,1.445589425865636
SKIN,2021-05-10T21:36:30,2021-05-11T06:08,511,33.143385518590996,35.909380000000965,569.0259442701936,0.7708510778367207,1.4019175591617543
SKIN,2021-05-11T21:46:30,2021-05-12T02:55,308,32.62022727272727,-117.84471999999914,503.3324238049099,0.7072419984772902,1.3771407453751634
SKIN,2021-05-12T23:12:30,2021-05-13T07:24,491,33.65774949083503,287.05663518591246,887.7040411492344,0.7244720429786288,1.4172737106312479
SKIN,2021-05-13T22:21,2021-05-14T05:48:30,448,33.07975446428571,0.0,551.2335729909828,0.6806132806526686,1.3796435095387536
SKIN,2021-05-15T02:05:30,2021-05-15T07:16:30,311,32.76528938906752,-85.83843919642823,255.2883564105723,0.6433513811936297,1.3390867178654988
SKIN,2021-05-15T23:10,2021-05-16T07:05:30,476,33.117216386554624,17.831874999999854,466.076453027199,0.6139423998379765,1.3037580410988434
SKIN,2021-05-16T22:04,2021-05-17T05:04:30,421,30.92852731591449,-889.4761347321419,2161.6316556012025,0.8198322183469247,1.385061622878178
SKIN,2021-05-17T21:16:30,2021-05-18T03:27,370,32.61624324324324,-143.04079999999885,460.729487471981,0.7858214451583497,1.3606456970206453
SKIN,2021-05-18T23:05:30,2021-05-19T05:26:30,381,32.69186351706037,-73.22864861736343,529.1731593920849,0.7551061552496663,1.3476801451990215
SKIN,2021-05-19T22:10,2021-05-20T05:28:30,439,32.2928132118451,-207.41704180064153,688.6892116840463,0.7366342161061112,1.3334395298372215
SKIN,2021-05-21T04:33,2021-05-21T09:18:30,286,34.91522727272727,580.9124973633425,1266.721136076725,0.9005737068619561,1.4102934251806114
SKIN,2021-05-21T22:34,2021-05-22T05:40,426,32.120856807511736,-274.5282797427626,854.8381302899215,0.8895196830252685,1.4034298520389932
SKIN,2021-05-22T22:43,2021-05-23T03:57,314,34.77671974522293,594.2936859163983,1227.4366675799247,0.9803661611483285,1.4543529131884136
SKIN,2021-05-23T21:42:30,2021-05-24T05:23:30,461,32.80822125813449,1.8189894035458565E-12,475.25364143168554,0.9530459333770123,1.4298847875706298
SKIN,2021-05-24T23:43:30,2021-05-25T06:22,398,34.58928391959799,670.1338096312375,1264.7562779795844,1.000982787128986,1.4603090444313571
SKIN,2021-05-26T00:23:30,2021-05-26T05:29:30,305,32.86219672131148,-1.8189894035458565E-12,482.4511781967012,0.9760438681095175,1.4527579422692727
SKIN,2021-05-27T01:27:30,2021-05-27T07:32,364,33.82097527472528,323.39831672131186,736.8700492668431,0.9690474631296978,1.4530406697693214
SKIN,2021-05-27T21:10,2021-05-28T02:01:30,292,32.983356164383565,-1.8189894035458565E-12,396.4875609589508,0.9468038433382682,1.443793655904905
SKIN,2021-05-28T23:13:30,2021-05-29T04:38,324,33.63998456790124,209.59122136986298,489.14275355031714,0.9345618616193782,1.4365628237809203
SKIN,2021-05-29T23:03:30,2021-05-30T07:26,502,33.0294422310757,13.354319999998552,393.3145985312294,0.9148915408689781,1.4115738685372672
SKIN,2021-05-31T00:40:30,2021-05-31T06:48:30,368,33.51180706521739,182.40506948207076,597.731205292861,0.9010406388085705,1.4063972565196816
SKIN,2021-05-31T22:16:30,2021-06-01T04:15,358,33.263282122905025,83.7146812748997,213.71085051936097,0.884372029016864,1.3881514616542585
